# time (s), x(cm), y(cm)
0,12.2,10.4
0.06,12,10.6
0.12,12,10.5
0.18,11.8,10.5
0.25,11.2,10.2
0.31,11,10.1
0.37,11,10.2
0.44,11.2,10.7
0.5,11.6,11
0.56,12,11.1
0.62,11.7,11.1
0.69,12.7,9.4
0.75,11.4,11
0.81,11.7,10.9
0.87,12,10.8
0.94,11.9,10.8
1,11.6,11.1
1.06,11.4,11.5
1.12,12,11.1
1.19,11.8,11
1.25,11.9,10.9
1.31,12.1,10.8
1.38,12.2,10.8
1.44,12.2,10.9
1.5,12.2,10.9
1.56,12.3,10.8
1.63,12.2,10.8
1.69,12.2,10.7
1.75,12.2,10.6
1.9,12.1,10.6
1.95,12.1,10.6
2.02,12.1,10.7
2.08,12.2,10.8
2.14,12.3,10.7
2.2,13,12.4
2.27,12.2,10.9
2.33,12.1,11.1
2.39,11.6,10.9
2.45,11.8,11.2
2.51,11.9,11.1
2.58,11.9,11.2
2.64,11,11.6
2.7,10.9,11.9
2.77,10.9,12.1
2.83,10.7,12.4
2.89,10.5,12.5
2.96,9.8,12.3
3.02,8.7,12.8
3.08,7.9,13.2
3.15,7,13.7
3.22,7,13.7
3.52,7,13.7
3.73,7,13.7
3.73,7,13.7
3.92,7.2,16.5
4.09,7.4,16.4
4.15,7.3,16.3
4.21,7.1,16
4.28,7.3,16.4
4.34,7.2,16.5
4.4,7.3,16.5
4.47,7.2,16.3
4.53,7.3,16.3
4.59,7.3,16.3
4.66,7.2,16.3
4.72,7.3,16.5
4.78,7.2,16.8
4.84,7,16.9
4.91,6.9,17
4.97,7.1,17
5.03,7.3,17.2
5.1,7.3,17.1
5.16,7.2,17.1
5.22,7,17
5.29,6.5,17.2
5.35,6.2,17.5
5.41,6.3,17.7
5.48,6.3,17.9
5.62,6.3,17.9
5.62,6.3,17.9
5.92,5.9,20.4
6.03,5,20.5
6.09,5.5,20.9
6.15,5.5,21.2
6.21,5.4,21.8
6.28,5.4,22.4
6.36,4.4,22.6
6.45,4,22.9
6.51,3.4,23.2
6.58,2.9,23.6
6.64,3.6,24.3
6.7,3.7,24.8
6.77,3,24.8
6.83,2.5,25.4
6.89,2.5,25.4
7.05,3.3,26.3
7.11,3.3,26.2
7.18,3.5,26.2
7.24,3.5,26.6
7.3,3.2,26.9
7.37,3.1,27.4
7.43,3.6,28.4
7.52,4.4,28.5
7.57,3.3,28.4
7.64,4,28.9
7.7,4,28.9
7.87,5,30
7.93,4.8,30.1
7.93,4.8,30.4
8.06,5.2,30.2
8.12,4.9,30.5
8.19,4.9,30.4
8.25,4.8,30.5
8.33,4.8,30.5
8.33,3.9,30.4
8.56,3.7,30.3
8.63,3.7,30.3
8.71,3.7,30.3
8.93,4,30.4
8.99,4,30.2
9.05,4,30.6
9.12,4,30.4
9.18,4,30.3
9.24,3.8,30.3
9.31,3.7,30.2
9.45,3.7,30.2
9.45,3.7,30.2
9.68,3.6,29.7
9.86,3.7,29.5
9.93,3.7,29.5
9.93,3.7,29.5
10.2,3.7,29.5
10.41,3.7,29.5
10.66,3.7,29.5
10.95,3.7,29.5
10.95,3.7,29.5
11.21,3.7,29.5
11.21,4.5,31.2
11.37,4.7,31.7
11.43,5,32.3
11.64,5.9,32
11.7,6.2,32.1
11.78,6.2,32.1
12.1,6.2,32.1
12.1,7.7,33.1
12.27,8.8,32.9
12.33,10,32.9
12.4,9.8,33
12.46,8.5,33.6
12.52,8.4,33.7
12.58,8,33.4
12.65,9.4,34
12.71,10,34.2
12.77,9.2,34.4
12.84,9.8,34.7
12.9,10.3,35
12.96,10.8,35.3
13.03,11.7,35.6
13.09,11.7,35.6
13.33,11.7,35.6
13.33,11.7,35.6
13.6,11.7,35.6
13.77,11.7,35.6
13.98,11.7,35.6
13.98,11.7,35.6
14.31,11.7,35.6
14.31,11.7,35.6
14.56,11.7,35.6
14.79,11.7,35.6
14.79,11.7,35.6
15.11,11.7,35.6
15.11,11.7,35.6
15.41,11.7,35.6
15.64,11.7,35.6
15.64,11.7,35.6
15.9,11.7,35.6
16.17,11.7,35.6
16.42,11.7,35.6
16.42,11.7,35.6
16.69,11.7,35.6
16.69,11.7,35.6
16.97,11.7,35.6
17.19,11.7,35.6
17.33,11.7,35.6
17.6,11.7,35.6
17.8,11.7,35.6
17.8,11.7,35.6
18.13,11.7,35.6
18.4,11.7,35.6
18.68,11.7,35.6
18.68,11.7,35.6
18.92,14.1,61.6
19.08,14,61.9
19.14,13.8,61.6
19.2,13.7,61.6
19.26,14,61.7
19.33,14,61.7
19.39,14.4,62.4
19.45,14.2,62.4
19.52,14.4,62.4
19.58,14.5,62.4
19.64,14.7,62.4
19.7,14.7,62.4
19.77,14.6,62.5
19.83,14.5,62.6
19.91,14.5,62.6
20.1,14.8,62.5
20.16,15.1,62.6
20.22,14.9,62.4
20.29,14.4,61.9
20.35,14.4,61.4
20.43,14.4,61.4
20.43,14.4,61.4
20.69,14.4,61.4
20.98,14.4,61.4
20.98,14.4,61.4
21.23,14.4,61.4
21.23,14.4,63.9
21.56,14.5,63.9
21.62,14.8,63.8
21.68,14.4,63.9
21.75,14.3,64
21.93,14.2,63.6
22.01,14,63.3
22.08,13.8,63.1
22.14,14.8,63.2
22.2,14,63.1
22.27,14.3,63.1
22.33,14.3,63.2
22.39,14.1,63
22.45,14.4,63.3
22.52,14.2,62.9
22.58,14.2,63
22.64,14.3,63.2
22.71,14.4,63.8
22.77,14.8,63.5
22.83,15,63.5
22.89,14.8,63.5
22.96,15,63.4
23.02,15,63.6
23.08,15,63.7
23.15,15.1,63.7
23.21,15,64
23.27,15.9,63.5
23.34,16.1,63.4
23.4,16.2,63.3
23.46,16.4,63.3
23.53,16.2,64.2
23.59,16.2,64.3
23.65,15.6,64.4
23.72,16.5,64.3
23.78,16.7,64.3
23.84,17.5,64.2
23.91,17.1,63.8
23.97,16.8,63.5
24.03,16.7,63.6
24.09,16.4,65
24.16,15.8,65
24.22,16.1,65.1
24.28,15.5,64.8
24.35,17.1,64.4
24.41,16.8,64.3
24.47,17.2,64.2
24.54,17.6,64.7
24.6,17.7,64.2
24.66,18.4,64.4
24.73,19.1,64.6
24.79,19.1,64.6
24.79,19.1,64.6
25.04,19.1,64.6
25.24,19.9,64.8
25.33,20.3,64.2
25.4,21,64.4
25.46,21.1,64.4
25.52,21.1,64.4
25.58,20.9,64.7
25.65,21.8,63.5
25.71,21.7,64.5
25.77,22.7,62.9
25.84,22.4,63.4
25.9,22.4,64.2
25.96,21.7,64.7
26.03,21.5,64.9
26.09,22.3,64.5
26.15,21.5,65
26.22,21.5,64.2
26.28,21.3,65.5
26.34,21.6,65.5
26.41,21.9,66.2
26.47,21.8,64
26.53,21.7,65.3
26.59,21.8,65.3
26.66,21.9,65.3
26.72,22,65.4
26.78,22.4,65.2
26.85,23.3,65.2
26.91,23.8,65.2
26.97,24.4,63.7
27.04,24.9,64.8
27.1,25.7,65
27.16,26.1,65.2
27.23,26.7,64.8
27.29,26.9,64.9
27.36,27.2,64.9
27.42,27.7,65.2
