# time (s), x(cm), y(cm)
0,10.5,9.8
0.06,10.5,9.8
0.12,10.5,9.7
0.25,10.2,9.5
0.3,10.1,9.5
0.37,10.1,9.4
0.43,10.1,9.4
0.63,10.1,9.4
0.63,10.1,9.4
0.88,10.1,8
0.95,10,8.3
1.01,10,8.3
1.07,10,8.4
1.14,10.1,8.2
1.26,10,8.2
1.33,10,8.2
1.39,10,8.3
1.45,10,8.4
1.51,10.1,8.5
1.57,10,8.6
1.63,10.1,8.6
1.7,10.4,8.7
1.76,10.2,8.9
1.82,10.3,8.8
1.89,10.3,8.8
1.95,10.2,8.9
2.01,10.5,9.1
2.07,10.6,9
2.14,10.7,9
2.2,10.7,9.1
2.26,10.8,9.3
2.32,10.9,9.3
2.38,11,9.3
2.45,10.6,9.2
2.51,11,9.5
2.57,10.8,9.5
2.63,10.8,9.7
2.7,11,9.9
2.76,10.8,10.1
2.88,10.8,10.1
2.99,10.4,10.6
3.06,10.3,10.8
3.12,10.4,10.5
3.18,10.9,9.7
3.24,10.7,10.3
3.31,10.8,10.3
3.37,10.8,10.2
3.43,10.5,10.1
3.49,9.4,10.6
3.55,8.8,12.4
3.62,10.4,9.8
3.68,10.6,10.1
3.74,10.5,9.6
4.05,12.6,10.8
4.11,12.6,11.2
4.18,12.5,11.3
4.29,12.5,11.3
4.29,12.6,11.1
4.46,14.7,11.8
4.52,15.2,12.1
4.58,15.5,12.4
4.65,15.9,13.2
4.71,15.8,13.6
4.77,17.2,12.4
4.84,16.2,14.5
4.9,16.4,14.9
4.96,15.8,15.9
5.04,15.5,16.5
5.12,15.5,16.5
5.24,14,17.7
5.3,13.7,17.3
5.37,15.5,16.9
5.43,15.6,17
5.52,15.6,17
5.52,14.7,18.6
5.69,15.1,18.7
5.75,15,19.2
5.82,15.2,19.2
5.88,14.6,19.5
5.94,14.4,20.3
6.01,14.2,21.3
6.08,13.4,21.1
6.15,12.5,21.5
6.21,11.9,23.4
6.27,11.6,23.5
6.34,11.6,23.7
6.4,11.3,24.1
6.46,10.7,24.2
6.52,9.9,25.6
6.58,8.4,25.7
6.65,8.7,26.7
6.71,8.1,27.6
6.77,7.7,27.8
6.84,7.4,28
6.91,5.4,29.1
7.01,4.3,29.5
7.07,3,29.8
7.13,4.9,29.2
7.2,5.2,29.1
7.26,3.9,31.1
7.32,1.6,31.3
7.39,3.6,31.2
7.45,3.6,31.3
7.51,3.5,31.3
7.57,3.4,31.3
7.65,3.4,31.3
7.84,3.4,31.3
8.29,3.4,31.3
8.29,3.4,31.3
8.62,3.4,31.3
8.87,3.4,31.3
9.04,3.4,31.3
9.04,3.4,31.3
9.32,3.4,31.3
9.55,3.4,31.3
9.82,3.4,31.3
9.82,3.4,31.3
10.13,3.4,31.3
10.13,3.4,31.3
10.63,3.6,36
10.69,4.5,35.2
10.9,4.4,36.2
11.04,3.1,38.8
11.1,3.4,38.1
11.17,2.9,41.2
11.23,2.4,44.4
11.32,2.4,44.4
11.51,2.4,44.4
11.51,2.4,44.4
11.77,2.4,44.4
11.94,2.4,44.4
11.94,2.4,44.4
12.23,2.4,44.4
12.49,2.4,44.4
12.49,2.4,44.4
12.71,2.4,44.4
12.96,2.4,44.4
12.96,2.4,44.4
13.17,2.4,44.4
13.36,2.4,44.4
13.58,2.4,44.4
13.58,2.4,44.4
13.81,2.4,44.4
14.06,2.4,44.4
14.06,2.4,44.4
14.35,2.4,44.4
14.59,2.4,44.4
14.59,2.4,44.4
14.81,2.4,44.4
14.98,2.4,44.4
15.2,2.4,44.4
15.4,2.4,44.4
15.6,2.4,44.4
15.6,2.4,44.4
15.84,2.4,44.4
16.14,2.4,44.4
16.14,2.4,44.4
16.6,2.4,44.4
16.6,2.4,44.4
16.91,2.4,44.4
16.91,2.4,44.4
17.11,2.4,44.4
17.39,2.4,44.4
17.58,2.4,44.4
17.58,2.4,44.4
17.83,2.4,44.4
18.08,2.4,44.4
18.37,2.4,44.4
18.37,2.4,44.4
18.59,2.4,44.4
18.8,2.4,44.4
19.01,2.4,44.4
19.2,2.4,44.4
19.2,2.4,44.4
19.47,2.4,44.4
19.69,2.4,44.4
19.69,2.4,44.4
19.87,2.4,44.4
20.09,2.4,44.4
20.09,2.4,44.4
20.34,2.4,44.4
20.34,2.4,44.4
20.57,2.4,44.4
20.78,2.4,44.4
20.78,2.4,44.4
20.96,2.4,44.4
21.22,2.4,44.4
21.47,2.4,44.4
21.71,2.4,44.4
21.94,2.4,44.4
22.15,2.4,44.4
22.15,2.4,44.4
22.15,2.4,44.4
22.48,2.4,44.4
22.63,2.4,44.4
22.85,2.4,44.4
22.85,2.4,44.4
23.1,2.4,44.4
23.1,2.4,44.4
23.3,2.4,44.4
23.58,2.4,44.4
23.58,2.4,44.4
23.75,2.4,44.4
23.75,2.4,44.4
23.94,2.4,44.4
24.17,2.4,44.4
24.17,2.4,44.4
24.45,2.4,44.4
24.45,2.4,44.4
24.73,2.4,44.4
25.01,2.4,44.4
25.01,2.4,44.4
25.25,2.4,44.4
25.43,2.4,44.4
25.43,2.4,44.4
25.65,2.4,44.4
25.9,2.4,44.4
25.9,2.4,44.4
26.13,2.4,44.4
26.41,2.4,44.4
26.41,2.4,44.4
26.77,2.4,44.4
26.77,2.4,44.4
27.05,2.4,44.4
27.32,2.4,44.4
27.32,2.4,44.4
27.63,2.4,44.4
27.63,2.4,44.4
27.88,2.4,44.4
28.14,2.4,44.4
28.39,2.4,44.4
