# time (s), x(cm), y(cm)
1.46,7.3,9.8
1.64,7,9.5
1.7,6.7,9.2
1.76,6.8,9.7
1.83,6.9,9.8
1.89,7.1,9.8
1.95,7.3,9.9
2.02,7.3,9.9
2.22,7.3,9.9
2.56,7.3,9.9
2.56,7.3,9.9
2.89,7.3,9.9
2.89,7.3,9.9
3.1,7.3,9.9
3.35,7.3,9.9
3.35,7.3,9.9
3.61,7.3,9.9
3.84,7.3,9.9
3.84,7.3,9.9
4.16,7.3,9.9
4.44,7.3,9.9
4.68,7.3,9.9
4.68,7.3,9.9
4.97,6.7,8.4
5.05,7,8.2
5.11,6.8,8.5
5.17,6.9,8.2
5.24,7,8
5.3,7,8
5.36,7.2,7.8
5.43,6.9,7.8
5.52,6.5,8.6
5.58,7,7.7
5.65,7,7.5
5.71,7.2,7.4
5.77,7.4,7.3
5.85,7.4,7.3
5.85,7.7,7.4
6.07,8.5,6.3
6.13,6.9,8.9
6.26,8,7.3
6.4,8,7.3
6.4,8,7.3
6.73,8,7.3
6.93,8,7.3
6.93,9,7.4
7.08,9,7.3
7.14,8.9,7.4
7.22,8.9,7.4
7.5,9.4,11.3
7.56,11.6,8.3
7.63,11.8,8.2
7.7,8.9,12.8
7.78,8,14.5
7.84,8.5,9.6
8.02,11.9,10.2
8.08,12,10.3
8.14,11.9,10.5
8.2,11.9,11.1
8.26,12.5,11.3
8.33,13.3,10.9
8.39,12.3,11.7
8.45,12.3,12
8.45,12.3,11.9
8.58,12.1,12.3
8.64,11.9,12.9
8.7,11.5,13.5
8.77,11.5,13.5
8.77,11.5,13.5
9.11,10.3,15.5
9.25,9.7,15.4
9.31,8.9,15.3
9.39,9.3,16.4
9.5,8.9,17
9.56,8.3,17.7
9.63,8.2,17.1
9.71,7.8,17.3
9.77,7.7,17.5
9.83,7.7,17.7
9.9,7.2,17.8
9.96,7.4,17.8
10.02,6.3,18.9
10.08,6,18.8
10.15,5.6,19.2
10.21,5.2,19.5
10.27,4.8,19.8
10.78,9.3,20.5
10.86,9.3,20.5
10.86,4.1,20.9
11.09,4.3,21.1
11.15,5.6,21.3
11.21,5.6,21.3
11.21,5.6,21.3
11.46,5.6,21.3
11.7,5.6,21.3
11.7,5.6,21.3
11.94,5.6,21.3
12.15,5.6,21.3
12.32,5.6,21.3
12.32,5.6,21.3
12.59,5.6,21.3
12.82,5.6,21.3
12.96,4.1,31.1
13.02,4.2,31.1
13.09,3.9,31.1
13.15,3.7,31.4
13.21,3.7,31.8
13.27,3.7,31.8
13.27,4.4,31.8
13.43,4.1,31.9
13.49,4.2,31.9
13.56,4.4,31.8
13.62,4.5,31.7
13.68,4.3,31.8
13.74,4.3,31.7
13.81,4.3,31.7
14.07,4.3,31.7
14.24,4.3,31.7
14.42,4.3,31.7
14.42,4.3,31.7
14.42,4.3,31.7
14.82,3.6,31.3
14.88,3.5,31.3
14.95,3.4,31.3
15.01,3.5,31.3
15.07,3.5,31.3
15.14,3.5,31.3
15.2,3.5,31.4
15.26,3.4,31.5
15.33,3.6,31.4
15.39,3.7,31.5
15.45,3.8,31.6
15.51,4,31.5
15.58,4,31.5
15.58,4,31.5
15.83,4,31.5
16.06,4,31.5
16.26,4,31.5
16.53,4,31.5
16.53,4,31.5
16.76,4,31.5
17.09,4,31.5
17.09,4,31.5
17.34,4,31.5
17.34,4,31.5
17.65,4,31.5
17.98,4,31.5
17.98,4,31.5
18.24,4,31.5
18.24,9.2,34.1
18.6,9.5,34.3
18.66,7.2,38.7
18.72,8.1,37.4
18.79,11.3,32.4
18.85,12.4,31
18.91,11.5,33.2
18.98,12.2,31.9
19.04,12,32.7
19.1,13.9,30
19.23,11.4,35.6
19.29,11.2,36.1
19.35,11.1,36.7
19.41,11.6,37
19.48,12,37.1
19.54,11.8,37.5
19.6,11.7,37.9
19.67,11.9,38
19.73,12.1,38
19.79,12.1,38.4
19.86,12.1,39.2
19.92,11.8,39.9
19.98,11.8,40.3
20.05,11.7,40.7
20.11,11.6,41.2
20.17,11.9,41.3
20.24,11.8,41.7
20.3,11.8,42.5
20.36,12.1,43.5
20.42,12.1,44.2
20.49,12.2,44.8
20.55,10.6,45.4
20.55,12.5,45.6
20.63,12.5,46
20.69,12.5,46.8
20.75,12.4,47.5
20.81,12.5,48.2
20.87,12.8,48.9
20.93,13.1,49.8
21,13.3,50.3
21.06,13.9,51.2
21.12,14.2,51.7
21.19,14.3,52.2
21.31,14.2,53
21.37,14.3,53.7
21.43,14.3,53.9
21.5,14.2,54.3
21.56,14,54.6
21.62,14.6,54.6
21.69,14.6,55.1
21.75,14.8,55.4
21.81,17.4,55.4
21.88,15.2,56.4
21.94,15.3,56.9
22,15.2,57.2
22.07,14.4,57.9
22.13,15.5,58.1
22.19,15.2,58.2
22.32,14.9,58.5
22.38,14.9,58.9
22.44,15.1,59.2
22.5,15.9,59.3
22.57,15.6,60
22.63,15.2,60.8
22.69,15.4,60.8
22.76,15.1,61.2
22.82,15.1,61.6
22.88,14.8,62.2
22.94,14.9,61.8
23,15.1,61.8
23.07,15,62
23.13,15,62.1
23.19,15,62.4
23.25,14.8,62.4
23.32,14.5,62.5
