# time (s), x(cm), y(cm)
17.97,2.4,45.6
18.03,1.8,44.8
18.09,2,45
18.15,2.2,45.2
18.22,2.4,45.5
18.28,2.5,45.2
18.34,3.3,45.9
18.41,3.6,46
18.47,3.3,45.7
18.53,3.4,45.7
18.59,3.7,45.8
18.66,3.7,45.8
18.72,3.7,45.8
18.78,3.7,45.8
18.84,3.8,45.8
18.9,4,45.9
18.97,4.1,45.9
19.03,4.4,46
19.09,4.8,46.1
19.16,5,46
19.22,5.9,46.3
19.28,6.6,46.3
19.34,6.5,46.5
19.4,6.9,46.8
19.47,7.1,47.4
19.53,7.2,47.4
19.59,7.5,47.4
19.66,8.1,47.7
19.72,9,48.7
19.78,9.6,48.8
19.84,10.4,48.8
19.91,10.5,48.6
19.97,10.6,48.9
20.03,10.8,49.3
20.09,11.1,49.7
20.16,11.7,50.4
20.22,12.5,50.9
20.28,13.5,51.4
20.34,13.5,51.6
20.41,13.8,51.8
20.47,14.3,52
20.53,14.9,52.2
20.6,15.3,52.6
20.66,15.6,52.5
20.72,16.4,52.9
20.78,17.2,53.2
20.85,17.8,53.5
20.91,18.1,53.7
20.97,18.7,53.9
21.03,19.4,54.2
21.1,19.3,54.2
21.16,19.3,54.1
21.22,19.8,54.2
21.28,20.5,54.6
21.34,20.7,54.1
21.4,21.6,54.9
21.47,22.1,54.9
21.53,23,55.4
21.59,23.2,55.5
21.65,23.4,55.3
21.72,23.6,55.2
21.78,24.4,55.1
21.84,25.6,55.5
21.9,26.5,55.9
21.97,26.3,56
22.03,26.3,55.9
22.09,27.1,56
22.16,27.4,55.9
22.22,27.4,55.8
22.28,27.3,55.8
22.35,27.8,56.1
22.41,28.3,56
22.47,28.7,56.3
22.53,29,55.9
22.6,29.9,56.3
22.66,30.7,56.2
22.72,31.9,56.5
22.79,33.4,56.7
22.85,34.6,57.1
22.91,34.6,57
22.98,34.4,56
23.04,34.7,55.4
23.1,35.2,55.4
23.16,35.2,55.5
23.29,35.1,55
23.35,35.1,55
23.41,35.1,55.2
23.48,35,55.2
23.54,35.1,55
23.6,35.1,54.9
23.66,35.1,55.1
23.72,35.2,54.9
23.79,35.2,55.1
23.85,35.2,54.8
23.98,35.3,54.9
24.04,35.3,54.6
24.1,35.3,54.8
24.17,35.3,54.6
24.23,35.3,54.6
24.29,35.3,54.6
24.35,35.3,54.7
24.42,35.2,54.7
24.48,35.2,54.7
24.54,35.2,54.3
24.6,35.6,54.1
24.67,35.4,54.1
24.73,35.5,54.1
24.79,35.6,53.8
24.85,35.6,53.5
24.91,35.6,53.4
24.98,35.9,53.1
25.04,36,52.9
25.1,36.4,52.5
25.17,36.5,52.4
25.23,36.6,52.2
25.29,36.9,52.2
25.35,37,52.1
25.42,37.1,52
25.48,37.2,51.8
25.54,37.3,51.7
25.6,37.4,51.7
25.66,37.7,51.9
25.73,38.1,51.5
25.79,38.8,51.7
25.85,38.7,51.7
25.92,38.8,51.7
25.98,38.8,51.5
26.05,39,51.5
26.1,39.4,51.5
26.17,39.8,51.6
26.23,39.9,51.6
26.29,39.8,51.5
26.35,39.8,51.5
26.42,40,51.4
26.48,41.3,51.2
26.54,41.8,51.7
26.61,41.8,51.7
26.67,41.9,52.2
26.73,42.2,51.7
26.8,42.4,51.8
26.86,43.2,52
26.92,44.4,52
26.98,44.8,52.3
27.05,44.7,52.2
27.11,44.8,52.4
27.17,45.1,52.4
27.24,45.2,52.6
27.3,45.2,52.5
27.36,45.3,51.8
27.42,45.3,51.8
27.49,45.4,52.6
27.55,45.6,52.2
27.61,45.6,52.9
27.68,45.9,52.8
27.74,46,52.9
27.8,46,53
27.87,46.1,53.2
27.93,46.2,53.4
27.99,46.4,53.5
28.05,46.4,53.5
28.12,46.4,53.8
28.18,46.3,54.2
28.24,46.4,54.4
28.31,46.4,54
28.37,46.3,53.8
28.43,46.3,53.9
28.49,46.4,53.9
28.56,46.2,53.9
28.62,46.2,54
28.68,46.2,53.9
28.75,46.1,54
28.81,46.1,53.8
28.88,46,53.8
28.94,45.9,54
29,45.9,54
29.06,46.1,54.1
29.13,46.2,54.2
29.19,46.2,54.3
29.25,46.2,54.3
29.32,46.3,54.5
29.38,46.5,54.7
29.44,46.5,55
29.51,46.4,55.3
29.57,46.4,55.5
29.63,46.4,55.6
29.69,46.5,55.6
29.76,46.5,55.7
29.82,46.6,55.8
29.88,46.7,56.4
29.95,46.9,57.4
30.01,47,57.7
30.07,47,57.7
30.13,47,57.8
30.2,47.2,57.9
30.32,48.2,59.7
30.38,48.2,59.8
30.45,48.6,60
30.51,48.9,60.2
30.57,49,59.8
30.63,49.3,60
30.7,50,60.5
30.76,50.3,60.6
30.82,50.4,60.7
30.88,50.7,60.7
30.95,51.1,60.7
31.01,51.7,60.7
31.07,51.8,60.7
31.13,52.1,60.6
31.2,52.4,60.9
31.26,52.8,60.9
31.32,53.4,60.8
31.39,53.5,60.3
31.45,53.6,60.6
31.51,53.9,60.6
31.57,54,60.5
31.64,54.5,60.7
31.7,54.9,60.6
31.76,54.9,60.6
31.82,55,60.7
31.89,55.2,60.8
31.95,55.3,60.9
32.01,55.6,61.2
32.07,56,61.1
32.14,56.2,61
32.2,56.6,60.9
32.26,56.7,61
32.32,56.8,61.2
32.38,57,61.2
32.45,57.3,61.3
32.51,57.4,61.5
32.57,57.7,61.6
32.64,58,61.8
32.7,57.9,61.8
32.76,58,61.8
32.82,58.1,61.6
32.89,58,61.4
32.95,57.8,61.6
33.01,57.9,61.8
33.08,57.9,62.1
33.14,58,62.2
33.2,58.1,62.2
33.27,58,62.3
33.33,58,62.5
33.39,58.2,62.8
33.45,58.3,63.3
33.52,58.1,63.5
33.58,58.2,63.4
33.64,58.3,63.5
33.71,58,63.8
33.77,57.9,64
33.83,57.9,64
33.89,57.9,63.9
33.96,58,64
34.02,58,64.3
34.08,58.2,64.8
34.15,58.4,65
34.21,58.2,65.1
34.27,58.2,65.5
34.33,58.1,65.8
34.4,58,65.8
34.46,58.2,65.9
34.52,58.2,66
34.59,58.4,66.1
34.65,58.3,66.2
34.71,58.2,66.1
34.77,58.2,66.1
34.84,58.2,66.1
34.9,58.4,66.1
34.96,58.5,66.1
35.03,58.5,66.1
35.09,58.6,66.3
35.15,58.7,66.4
35.22,58.7,66.3
35.28,58.7,66.2
35.34,58.7,66
35.41,58.8,65.8
35.47,58.7,65.9
35.53,58.7,65.8
35.6,58.8,65.8
35.66,58.8,66
35.72,58.9,66.3
35.78,59.1,66.5
35.85,59.2,66.7
35.91,59.2,66.8
35.97,59.3,66.8
36.04,59.4,66.7
36.1,59.6,66.7
36.16,59.9,66.8
36.22,59.9,67
36.29,59.9,67.1
36.35,60,67.3
36.41,60.2,67.6
36.48,60.2,67.6
36.54,60.3,67.7
36.6,60.2,67.8
36.66,60.1,67.9
36.73,60,67.9
36.79,60,67.8
