# time (s), x(cm), y(cm)
0,4.1,11.4
0.07,3.9,11.5
0.13,4,11.5
0.19,3.8,11.7
0.25,3.9,11.9
0.32,3.8,11.5
0.38,3.8,11.4
0.44,3.5,11.1
0.5,4.5,11.4
0.57,3.9,11.2
0.63,3.9,11.3
0.69,3.9,11.4
0.75,3.9,11.6
0.81,3.7,12.1
0.88,3.9,12.7
0.94,3.7,13.2
1,3.6,13.1
1.07,3.4,13.4
1.13,3.8,13.8
1.19,3.7,13.9
1.25,3.7,14.7
1.31,3.4,15.4
1.38,3.5,15.9
1.44,3.5,16.5
1.5,3.4,16.8
1.56,3.6,17.1
1.63,3.4,17.4
1.69,3.5,17.6
1.75,3.4,17.9
1.81,3.4,18.5
1.88,3.4,18.9
1.94,3.6,19.5
2,3.6,19.8
2.06,3.6,20.2
2.12,3.6,20.4
2.19,3.5,21
2.25,3.7,21.3
2.31,3.7,21.8
2.37,3.8,22.4
2.44,3.8,23
2.5,4.1,23.6
2.56,4.6,23.7
2.63,4.5,24.2
2.69,4.5,24.5
2.75,4.7,24.4
2.81,4.7,25
2.88,5.4,26
2.94,6.1,26.3
3,6.1,26.8
3.07,6.1,26.8
3.13,6,27.1
3.19,5.9,27.2
3.25,5.7,27.5
3.31,5.5,27.6
3.38,5.2,27.9
3.44,5.4,28.1
3.5,5.5,28.4
3.57,5.5,28.7
3.63,5.3,29.4
3.69,5.5,29.4
3.75,5.3,29.5
3.82,5.5,29.7
3.88,5.4,29.9
3.94,5.4,30.1
4.01,5.6,30.9
4.1,5.6,31.5
4.16,5.4,31.7
4.23,5.5,31.9
4.29,5.4,32
4.35,5.4,32
4.42,5.3,32
4.48,5.4,32
4.54,5.4,31.9
4.6,5.6,31.7
4.67,5.4,31.7
4.73,5.2,31.9
4.79,5.2,31.9
4.85,5.3,31.8
4.92,5.3,31.8
4.98,5.3,31.8
5.04,5.3,31.6
5.1,5.1,31.6
5.17,5.7,31.5
5.23,5.7,31.4
5.29,5.9,31.3
5.35,6.1,31.1
5.42,6.2,31.1
5.48,6.2,31.1
5.54,5.8,31.1
5.61,5.7,31.1
5.67,5.4,31
5.73,5.5,31
5.79,5,31
5.86,5,31
5.92,5,31.1
5.98,5.1,31
6.04,5,30.9
6.11,5,30.8
6.17,5.2,30.9
6.23,5.4,31
6.29,5.3,30.9
6.35,5.2,31
6.42,5.3,31
6.48,5.5,31
6.54,5.8,31
6.6,6.5,31
6.67,5.6,31.1
6.73,5.7,31.2
6.79,5.8,31.5
6.85,5.8,31.6
6.92,5.9,31.7
7.29,5.7,32.2
7.36,5.7,32.2
7.42,5.7,32.4
7.48,5.8,32.6
7.54,5.7,32.7
7.61,5.7,32.8
7.67,5.6,32.9
7.73,5.5,32.8
7.8,5.4,32.8
7.86,5.5,33
