# time (s), x(cm), y(cm)
0,10.5,10.2
0.11,7.7,8.1
0.18,8.4,8.2
0.24,7.6,8.6
0.3,7.3,8.7
0.36,7.4,8.7
0.43,7.2,8.4
0.49,7.4,7.8
0.55,7.5,7.6
0.62,7.4,7.5
0.68,6.8,7.6
0.74,7.1,7.9
0.81,7.3,8
0.87,7.4,7.8
0.93,7.9,8
0.99,8.4,7.8
1.06,8.9,7.5
1.12,9.1,7.4
1.18,8.9,7.8
1.31,8.1,7.3
1.37,8.3,7.2
1.43,7.4,8.6
1.5,8,8.7
1.56,8.7,7.9
1.63,8.8,7.8
1.69,7.2,8
1.75,9.8,8.1
1.81,9.9,9
1.88,10.3,9.2
1.94,11.1,9
2,11.3,8.9
2.07,11.7,8.7
2.13,12.1,8.9
2.19,12.1,9
2.26,12,9
2.38,12,9.6
2.44,12.5,9.9
2.51,12.6,10.4
2.57,12.7,10.9
2.63,13.1,11.5
2.69,13.1,12.5
2.75,12.9,13.2
2.82,13,13.7
2.88,13.3,14.6
2.94,12.6,14.6
3.01,12.8,15.4
3.07,12.8,15.9
3.13,11.7,16.6
3.19,11.9,17
3.26,11.5,17
3.32,11.5,17.6
3.38,10.9,17.2
3.45,10.4,17.1
3.51,10,18.1
3.57,9.4,20
3.63,8.6,19.2
3.7,7.8,19.5
3.76,7.3,20
3.82,7.3,20.2
3.88,6.9,19.9
3.95,6.1,19.9
4.01,5.7,20.3
4.07,5.4,20.5
4.14,5.5,20.6
4.2,5.8,20.7
4.26,5.6,20.4
4.33,5.4,20.6
4.39,5.6,20.6
4.45,5.6,20.6
4.58,5.5,20.6
4.64,5.7,20.5
4.71,5.8,20.3
4.77,5.2,19.9
4.83,4.9,19.4
4.89,4.3,19.3
4.96,4.3,19.7
5.02,4,20.5
5.08,4.2,21.1
5.15,4.5,21.1
5.21,4.1,20.4
5.27,4.7,19.4
5.34,4.2,20.4
5.4,4,20.7
5.46,4,20.8
5.52,4.7,21.4
5.59,4.9,22
5.65,5.5,22.4
5.71,6.3,23.1
5.78,6.8,23.9
5.84,7.1,24.4
5.91,7,25.2
5.97,7.2,25.6
6.03,7.3,26
6.1,7.1,26.4
6.16,7.9,26.9
6.22,7.8,27.9
6.28,7.5,29.1
6.34,6.2,30.2
6.41,6.6,30.8
6.47,6.6,31
6.53,6.6,31.1
6.59,7,31.3
6.66,7.1,31.1
6.72,7.6,30.2
6.78,7,31
6.85,6.1,32.3
6.91,5.3,33.9
6.97,6.8,31.2
7.03,7.1,30.3
7.1,7.2,29.8
7.16,7.3,29.9
7.22,6.1,31.9
7.41,6.1,32.1
7.47,6,32.2
7.53,6.1,32.2
7.59,6,32.2
7.66,6,32.5
7.72,6,32.9
7.78,5.9,32.9
7.85,6.1,32.8
7.91,6.5,32.1
7.97,7,34
8.19,7.2,34.6
8.25,7.3,35.2
8.32,7.2,35.7
8.38,7.6,35.8
8.44,7.6,35.9
8.57,8.2,36.4
8.63,8.2,37
8.69,8.5,37.7
8.76,8.7,39.4
8.82,8.6,41.1
8.88,7.4,40.9
8.95,8.2,41.1
9.01,8.5,40.9
9.07,8.5,40.8
9.13,8.3,40.9
9.2,7.8,41
9.26,8,40.9
9.32,8,41
9.38,8.1,41.1
