timestamp_s,vicon_x_cm,vicon_y_cm
24.92,46.8,39.7
24.99,46.7,40.2
25.05,46.9,40.1
25.17,46.7,41.1
25.24,47.2,41.8
25.3,46.6,42.6
25.36,46.7,42.6
25.43,46.7,42.9
25.49,46.4,43.5
25.55,46.5,43.4
25.62,46.4,44
25.68,46.2,44.7
25.74,46.3,44.5
25.8,46.5,44.3
25.87,46.4,44.6
25.93,46.4,44.5
25.99,46.5,44.5
26.06,46.4,44.8
26.12,46.5,44.8
26.18,46.5,45.2
26.24,46.7,45.2
26.3,46.6,45.5
26.37,46.6,45.6
26.43,46.5,46.4
26.5,46.4,47.1
26.56,46.7,47.2
26.62,46.8,47.6
26.68,46.8,47.8
26.75,46.9,48.3
26.87,46.8,49.3
26.93,47,49.4
27,47.1,49.8
27.06,47.1,49.7
27.12,47.2,50
27.19,47.1,50.2
27.25,47.3,50.4
27.31,47.3,50.9
27.38,47.7,50.8
27.44,47.5,51
27.5,47.7,51.3
27.58,47.5,51.6
27.64,47.2,52
27.7,47.1,52
27.77,47.2,51.8
27.83,47.3,51.8
27.89,47.5,52
27.95,47.6,52.2
28.01,47.7,52.7
28.01,47.6,53.7
28.09,48,53.3
28.15,48.5,53.5
28.22,48.5,54
28.28,48.2,54.7
28.34,48.1,55.4
28.41,48.4,55.7
28.53,48.5,56.2
28.6,48.5,57
28.66,48.2,57.6
28.72,48.8,57.9
28.78,48.9,58.1
28.85,49,58.4
28.91,49.5,58.8
28.97,50.3,59.4
29.04,50.2,59.4
29.1,50.4,59.4
29.16,50.7,59.8
29.22,51.2,60.4
29.28,51.7,60.3
29.35,51.6,60.4
29.41,51.5,60.4
29.48,51.8,60.3
29.54,51.9,60.5
29.6,52.5,60.8
29.67,53.1,60.7
29.73,53.9,60.8
29.98,55.1,61.1
30.04,54.8,60.8
30.11,55.3,60.6
30.17,56,60.5
30.23,56.3,61.1
30.29,56.6,60.9
30.36,57.4,61.1
30.42,57.4,60.6
30.48,57.3,60.7
30.55,57.3,61.4
30.67,57.4,61.4
30.73,57.5,61.3
30.8,57.5,61.1
30.86,57.6,61.3
30.92,57.7,61.5
30.99,57.7,61.7
31.05,57.7,62.1
31.11,57.9,62
31.17,57.8,62.5
31.24,57.8,62.7
31.3,58.2,62.1
31.36,58.4,62
31.43,58.8,62
31.49,58.9,62
31.55,58.7,61.5
31.62,58.7,61.3
31.68,58.6,61.4
31.74,58.7,61.5
31.8,58.7,61.5
31.86,58.7,61.5
31.93,58.7,61.7
31.99,58.6,61.6
32.05,58.6,61.6
32.12,58.6,61.6
32.18,58.7,61.7
32.24,58.7,61.9
32.3,58.7,62.5
32.37,58.5,63
32.43,58.6,63
32.49,58.6,63.2
32.56,58.6,63.6
32.62,58.7,63.7
32.68,58.7,63.8
32.74,58.8,64
32.87,58.1,64.3
32.93,59.1,64.1
32.99,58.6,65.3
33.06,58.3,65.8
33.12,58.4,65.9
33.18,58.4,66
33.25,58.4,65.9
33.25,58.6,65.7
33.37,58.8,65.6
33.43,58.8,65.7
33.5,58.9,66
33.56,58.9,66
33.62,58.9,65.9
33.69,58.9,66
33.75,58.8,65.8
33.81,58.8,66
33.87,58.8,66.2
33.94,58.5,66.6
34,58.5,66.8
34.07,58.5,66.8
34.13,58.5,66.8
34.19,58.6,66.9
34.25,58.6,66.9
34.31,58.6,66.9
34.38,58.7,67
34.44,58.8,67.1
34.5,58.8,67.1
34.56,59,67.4
34.63,58.9,67.9
34.69,58.9,68.2
34.75,59.9,68
34.82,60.2,68.7
34.88,60.2,69
34.94,60.2,69.1
35.01,60,69
35.07,60.3,69.2
35.13,60.2,69.2
35.2,60.2,69.6
35.26,60.2,70.7
35.32,60,71.2
35.38,60.1,71.2
35.45,59.8,71.3
35.51,59.4,71.8
35.57,59.4,71.7
35.63,59.2,71.6
