timestamp_s,vicon_x_cm,vicon_y_cm
4.8,5.3,6.1
4.86,5.6,5.9
4.92,6,5.8
4.98,4.1,6
5.05,5,5.7
5.11,6.1,4.9
5.89,5.9,4.8
6.11,5.8,5
6.17,6.1,5.3
6.23,6.2,5.6
6.29,6,6
6.37,6,6
6.89,4.8,5.2
6.95,6.6,4.8
7.11,6.2,4.2
7.17,6.3,4.6
7.23,6.3,4.6
7.31,7.8,4.6
7.44,8.2,4.7
7.72,10.3,5.7
7.79,11.2,6
7.85,11.3,6
7.91,12.5,7.1
7.97,13.7,7.6
8.04,14.4,8.2
8.16,15.2,8.5
8.22,15.9,8.7
8.29,16.8,8.9
8.35,18.2,9.1
8.41,18.7,9.7
8.48,19.9,10.4
8.54,20.4,10.5
8.6,20.9,10.5
8.66,21.1,10.7
8.73,22.6,10.5
8.79,24.3,11.2
8.85,24.4,11.4
8.91,25,11.2
8.98,25.6,11.1
9.04,26.4,11.7
9.1,27.2,11.5
9.16,27.7,11.4
9.22,28.2,11.5
9.29,28.8,12.2
9.35,29.7,11.8
9.41,29.9,12.1
9.47,30.2,13
9.54,30.9,13.7
9.6,31.3,14
9.66,32,14.1
9.72,32.5,14.4
9.78,33.3,14.6
9.85,34.4,15
9.91,35.4,15.5
9.97,35.6,16.2
10.04,36.1,16.6
10.1,36.2,16.8
10.16,36.4,17
10.23,36.3,17.2
10.29,36.5,17.9
10.35,37.1,18.5
10.42,36.6,19
10.48,36.6,19.3
10.54,36.2,19.9
10.6,37.2,20
10.67,39.9,19.7
10.73,37.4,21
10.79,33.2,22.1
10.92,37.8,23
10.98,38.3,23.4
11.04,38.4,24
11.11,38.4,24.2
11.17,38.4,24.7
11.23,39.3,25.6
11.3,37,26.8
11.36,39.2,27.4
11.42,39.5,28.1
11.48,40.1,28.1
11.55,40.2,28.5
11.67,41,29.5
11.74,41,30.2
11.8,40.8,31
11.86,40.7,31.8
11.92,40.5,32.6
11.98,41.9,33.5
12.05,41.8,33.7
12.11,41.6,34
12.17,41.9,34.7
12.24,42.6,35.7
12.3,42.2,37.1
12.36,43.5,37.6
12.43,41.8,38.2
12.49,42.4,39.1
12.55,42.2,39.6
12.61,42.2,40.2
12.68,42.3,41.2
12.74,41.5,42.1
12.8,41.7,42.6
12.86,41.5,43.5
13.17,41.2,46.3
13.24,41.3,47.6
13.3,41.7,48.3
13.36,41.1,48.2
13.43,41.5,48.3
13.49,42,48.7
13.55,42.5,48.6
13.62,42.5,49
13.68,42.8,49.5
13.74,44,50.1
13.81,44.6,50.6
13.87,45.1,51
13.93,45.8,51.3
13.99,46.1,52
14.06,45.9,52.7
14.12,45.9,53.2
14.18,45.9,53.9
14.25,45.7,54.9
14.31,45.6,55.9
14.37,45.6,55.9
14.58,45.6,55.9
14.58,45.6,55.9
14.86,45.3,61.7
14.92,45.2,62.4
14.98,45.4,63.4
15.04,45.4,63.6
15.1,45.4,63.6
15.17,45.1,63.6
15.23,45.1,63.6
15.29,45.2,63.6
15.35,45.1,63.7
15.42,45.2,63.9
15.54,46,63.9
15.61,46.6,64.4
15.67,47.2,64.8
15.73,46.7,64.6
15.79,47.1,64.6
15.85,47.5,65.4
15.91,47.1,65.8
15.98,47.5,65.6
16.04,47.7,66.2
16.1,48,66.3
16.16,48.5,67
16.22,48.7,67.4
16.29,48.9,67.4
16.35,49.2,67.7
16.41,49.2,67.7
16.48,49.4,67.7
16.54,49.9,68
16.6,50.4,69.1
16.66,51.1,69.9
16.73,51.6,69.5
16.79,51.5,70
16.91,51.5,70
17.29,49.2,75.1
17.35,49,75.3
17.41,50.1,75.3
