timestamp_s,vicon_x_cm,vicon_y_cm
1.44,8.1,9
1.5,7.9,8.9
1.57,8,9
1.63,8.2,9.4
1.69,8.2,9.4
1.75,8.2,9.2
1.82,8.1,9.3
1.82,8.2,9.5
1.94,7.9,10
2.02,7.1,10.5
2.14,6.7,10.6
2.21,6.5,10.5
2.3,5.4,10.6
2.38,5.3,11.1
2.44,5.2,11.1
2.51,5,10.8
2.57,4.8,10.8
2.63,4.5,10.9
2.69,4.2,11
2.76,3.9,11.2
2.82,3.9,11.7
2.88,3.9,12.2
2.94,3.9,12.2
3.16,4,13
3.22,4.1,12.7
3.28,4.1,12.7
3.46,4.1,12.7
3.46,4,17.5
3.69,4,18.1
3.75,4.2,18.3
3.82,3.8,18.2
3.88,3.8,19
3.94,4.2,20.2
4,3.7,19.3
4.07,3.7,19.5
4.13,3.8,20.2
4.19,3.2,20.9
4.26,3.3,22
4.32,3.5,22.1
4.38,3.3,22.3
4.44,3.3,22.7
4.51,3.3,22.7
4.57,3,22.9
4.63,2.7,23.4
4.69,2.2,23.8
4.81,3,23.5
4.88,2.7,24.6
4.94,3.1,25.9
5,3.2,27.1
5,3.1,27.7
5.13,2.9,27.9
5.19,2.7,28
5.27,3.7,30.7
5.38,3.9,31.5
5.44,3.4,30.7
5.5,3.2,30.7
5.57,3.2,31
5.63,3.4,30.9
5.69,3.8,31.1
5.75,3.8,31.1
5.82,4,31.2
5.88,3.9,31.2
5.94,3.7,31.1
6,3.6,31.1
6.07,3.3,31.5
6.13,3.5,31.7
6.22,3.5,31.7
6.49,3.5,31.7
6.49,3.5,31.7
6.74,3.3,32.3
6.85,3.2,32.9
6.91,3.1,33.1
6.97,2.4,32.9
7.04,1.7,33
7.1,2.5,33.2
7.24,2.5,33.3
7.3,2.6,33.2
7.37,2.7,33.4
7.43,3,34.9
7.49,3.5,37.2
7.56,3.8,39.3
7.63,2.7,39.1
7.85,2.9,39.2
7.92,2.4,39.5
7.98,1.9,39.7
8.04,2.5,41.3
8.14,2.1,42.1
8.29,2.4,42.8
8.35,2.5,43.1
8.54,2.6,45.4
8.65,3.9,43.9
8.71,2.3,46.1
8.77,2,46.4
8.84,2,46.4
8.84,1.6,48.7
9.01,1.4,49.4
9.09,1.4,49.4
9.29,1.4,49.4
9.54,1.4,49.4
9.75,1.9,57.2
9.81,2.5,57.8
9.87,2.8,58.7
9.93,2,59.6
9.99,2.3,60.3
10.06,7.7,59.6
10.18,3.2,60.6
10.24,3.4,61
10.31,3.4,61.5
10.37,4.1,62
10.44,4.3,62.6
10.5,3.9,63.6
10.56,3.9,63.9
10.63,5,62.3
10.69,3.8,64.9
10.75,3.9,65.6
10.81,4,66
10.88,3.9,67.3
10.94,3.9,68.4
11,4.2,69.1
11.06,4.4,69.7
11.13,3.6,71.1
11.19,3.6,72
11.25,4.1,72.4
11.32,4.4,73.1
11.38,4.4,73.9
11.52,4.4,73.9
11.7,4.4,73.9
11.92,4.4,73.9
12.05,2.6,76.1
12.11,2.6,75.9
12.19,2.6,75.9
12.44,2.6,75.9
12.44,2.6,75.9
12.64,2.8,76
12.83,2.9,76
12.89,2.7,76.2
12.96,2.6,76.2
13.02,2.3,76.4
13.08,2.3,76.4
13.08,2.4,76.4
13.29,2.4,76.4
13.35,2.4,76.4
13.45,2.4,76.4
13.6,2.3,76.8
13.66,2.3,76.7
13.73,2.3,76.8
13.79,2.3,76.8
13.85,2.3,76.7
13.92,2.4,76.6
13.98,2.4,76.6
14.21,2.4,76.6
14.42,2.4,76.6
14.42,2.4,76.6
14.67,2.4,76.6
14.86,2.4,76.6
14.86,2.4,76.6
15.15,2.4,76.6
15.37,2.4,76.6
15.55,2.4,76.6
15.7,2.4,76.6
15.7,2.4,76.6
15.95,2.4,76.6
15.95,2.4,76.6
16.18,2.4,76.6
16.18,2.4,76.6
16.54,2.4,76.6
16.78,2.4,76.6
17.06,2.4,76.6
17.31,2.4,76.6
17.31,2.4,76.6
17.5,2.4,76.6
17.5,2.4,76.6
17.94,2.4,76.6
17.94,2.4,76.6
18.33,2.4,76.6
18.33,2.4,76.6
18.53,2.4,76.6
18.53,2.4,76.6
18.78,2.4,76.6
18.96,2.4,76.6
18.96,2.4,76.6
19.23,2.4,76.6
19.23,2.4,76.6
19.74,2.4,76.6
19.74,2.4,76.6
19.92,2.4,76.6
20.13,2.4,76.6
20.13,2.4,76.6
20.43,2.4,76.6
20.68,2.4,76.6
20.68,2.4,76.6
20.91,2.4,76.6
20.91,2.4,76.6
21.22,2.4,76.6
21.46,2.4,76.6
21.46,2.4,76.6
21.75,2.4,76.6
21.93,2.4,76.6
21.93,2.4,76.6
22.2,2.4,76.6
22.2,2.4,76.6
22.62,2.4,76.6
22.84,2.4,76.6
23.07,2.4,76.6
23.07,2.4,76.6
23.35,2.4,76.6
23.35,2.4,76.6
23.62,2.4,76.6
23.87,2.4,76.6
23.87,2.4,76.6
24.06,2.4,76.6
24.34,2.4,76.6
24.59,2.4,76.6
24.59,2.4,76.6
24.84,2.4,76.6
24.84,2.4,76.6
25.22,2.4,76.6
25.22,2.4,76.6
25.51,2.4,76.6
25.71,2.4,76.6
25.71,2.4,76.6
25.9,2.4,76.6
26.21,2.4,76.6
26.21,2.4,76.6
26.7,10,76.4
26.98,10,76.3
27.04,10.3,76.7
27.1,10.4,76.9
27.17,10.6,77
27.23,10.6,76.9
27.29,10.8,76.6
27.35,11.2,77.5
27.42,12.8,74.8
27.42,12.5,76.6
27.54,10,82.8
27.61,10,82.8
27.61,10,82.8
27.9,10,82.8
28.07,10,82.8
28.28,11.4,80.7
28.41,13.5,81.2
28.59,14.2,81.4
28.66,15.6,81.3
28.72,30.2,81
28.78,26.8,78.8
28.84,27.7,79
28.91,28.5,78.8
28.98,28.8,78.3
29.08,29.4,77.8
29.14,30,78.2
29.2,30.1,78.4
29.27,30,78.7
29.35,30,78.7
29.35,31.8,78.3
29.57,30.4,78.9
29.63,38.4,76
29.7,32.3,78.3
29.76,35.6,77.6
29.82,33.6,78.9
29.89,34.2,78.6
29.95,34,78.2
30.01,34,77.8
30.07,34.8,78.3
30.14,35.2,78.3
30.2,35.8,78.4
30.27,36.4,78.6
30.33,36.5,78.5
30.39,36.5,78.4
30.45,36.8,78.6
30.52,37.4,78.6
30.58,38.1,78.4
30.64,38.7,78.2
30.77,39.8,78.2
30.83,40.5,78.2
30.9,41,78.2
30.96,41.6,78.2
31.02,42.1,78.4
31.08,42.5,78.5
31.15,43.5,78.7
31.21,43.6,78.7
31.27,43.8,78.9
31.34,44.1,78.9
31.4,44.6,78.8
31.46,45.2,78.8
31.53,45.8,78.3
31.59,46.3,78.6
31.65,46.8,78.7
31.72,47.5,79
31.78,48,78.5
31.9,49.3,79
31.97,49.5,78.7
32.03,49.9,78.5
32.09,50.4,78.2
32.15,50.5,78.3
32.22,50.8,78.2
32.28,51.5,78.5
32.34,52.3,78.7
32.4,53.2,78.7
32.47,53.6,78.6
32.53,54.3,78.8
32.59,54.8,78.9
32.66,55,78.8
32.72,55.6,78.7
