timestamp_s,vicon_x_cm,vicon_y_cm
0,9.2,7.1
0.19,9,8.4
0.3,8.9,8.3
0.36,8.6,8.3
0.42,8.6,8.2
0.49,8.5,8.2
0.55,8.4,8.2
0.61,8.6,8
0.68,8.6,7.7
0.74,8.7,8.2
0.8,8.1,8.3
0.87,6.8,7.8
0.93,7.4,7.8
0.99,7.2,8.1
1.05,7.1,8
1.12,7,7.9
1.18,6.9,7.6
1.24,6.6,7.2
1.3,6,6.8
1.37,7.3,6.7
1.43,7,7
1.49,6.9,7.1
1.56,7,7.3
1.62,7,7.3
1.68,6.9,7.2
1.75,6.6,7
1.81,6.5,6.7
1.87,6.5,6.8
2,6.8,7.2
2.06,6.9,7.3
2.12,6.9,7.3
2.18,6.9,7.2
2.25,6.9,7.1
2.31,6.7,6.9
2.37,6.6,6.9
2.44,6.6,6.9
2.5,6.7,6.8
2.63,6.5,6.5
2.69,6.2,6.2
2.75,6,6.1
2.82,5.9,5.9
2.88,5.9,5.9
3.05,5.9,5.9
3.21,6.8,5.7
3.27,6.5,5.6
3.34,6.3,5.6
3.4,6.3,5.7
3.47,6.1,5.7
3.53,6,5.9
3.59,6.1,5.8
3.65,6.4,5.5
3.72,6.1,5.9
3.78,6,6.2
3.84,6.1,6.5
3.9,5.9,6.9
3.97,5.7,6.6
4.03,5.4,8
4.09,5.3,8
4.16,5.5,8.2
4.22,5.7,8.4
4.28,5.6,8.8
4.34,5.7,9
4.41,5.9,9.5
4.47,5.9,9.8
4.53,5.8,10.2
4.6,5.8,10.5
4.66,5.7,10.4
4.72,5.6,10.3
4.78,5.6,10.4
4.85,5.6,11.3
4.91,5.5,11.4
4.97,5.3,11.1
5.03,5.2,11
5.1,5,11.3
5.16,5.1,11.7
5.22,4.8,11.4
5.28,4.8,11.5
5.35,4.5,11.5
5.41,4.4,11.7
5.47,4.3,12
5.53,4.4,12.3
5.6,4.5,12.7
5.66,4.6,12.8
5.72,4.5,13
5.78,4.5,13.5
5.85,4.9,13.9
5.91,4.7,14.4
5.97,4.8,14.4
6.09,5.5,14.7
