timestamp_s,vicon_x_cm,vicon_y_cm
0,11.3,11.1
0.06,11.3,11.2
0.12,11.2,11.2
0.19,10.9,11.8
0.25,10.9,12.2
0.31,10.8,11.4
0.37,10.8,11.5
0.44,10.9,11.4
0.5,11,11.4
0.56,10.9,11.4
0.63,10.7,11.5
0.75,10.7,11.5
0.82,10.8,11.5
0.88,10.9,11.5
0.94,11,11.5
1,11.5,10.7
1.07,11,10.9
1.13,11,10.9
1.19,10.9,10.9
1.25,10.3,10.4
1.32,10.3,10.4
1.38,9.5,10.4
1.44,8.9,10.5
1.5,8.5,10.5
1.57,8.2,10
1.63,8.1,9.9
1.69,8.1,9.8
1.75,8.1,9.8
1.82,8,9.9
1.94,7.5,9.8
2.01,7.3,9.6
2.07,7.4,9.3
2.13,7,9.4
2.2,7,9.4
2.26,7.1,9.5
2.32,7.2,9.4
2.39,7,9.2
2.45,7.1,9.3
2.51,7,9.2
2.57,6.9,9.1
2.64,6.8,9.1
2.7,6.6,9
2.76,6.7,9.1
2.83,6.7,8.9
2.89,6.9,8.7
2.95,6.4,9.4
3.02,6.1,9.5
3.08,5.7,9.5
3.14,5.8,9.4
3.21,5.7,9.4
3.52,5,10.2
3.71,4.8,10.5
3.77,4.8,10.3
3.84,4.8,10.4
3.9,4.6,10.5
3.96,4.4,10.8
4.4,5.1,13.4
4.47,5,13.6
4.53,4.8,13.6
4.59,4.9,14.3
4.65,5.3,14.6
4.72,5.8,14.9
4.97,4,15.7
5.09,3.9,16.5
5.16,4.1,16.7
5.22,4.2,16.6
5.29,5.9,17.8
5.35,3.7,16.9
5.41,4.8,17.8
5.47,4.8,18.1
5.54,4,18
5.6,4,18.2
5.66,3.8,18.4
5.73,3.7,18.7
5.79,3.8,19
5.85,3.2,19.2
5.91,3.1,19.6
5.98,3.5,20.1
6.04,3.9,20.7
6.1,4.6,21.5
6.16,4.5,21.8
6.23,4.4,22.1
6.29,4.7,22.6
6.35,4.9,22.9
6.42,3.7,22.9
6.48,3.7,22.9
6.54,3.9,22.9
6.61,4.8,23.7
6.67,4.5,23.7
6.73,3.5,23.3
6.79,3.3,23.4
6.85,2.2,24.2
6.92,3.3,24.2
6.98,3.5,24.4
7.04,3.5,24.6
7.11,3.4,24.9
7.17,3.3,25
7.23,3.4,25.3
7.3,3.9,25.7
7.36,3.9,25.6
7.42,3.8,25.9
7.49,3.7,25.9
7.55,3.5,26.3
7.67,4.6,26.1
7.73,4,26.2
7.8,4,26.3
7.86,4.1,26.5
7.92,3.9,26.8
7.99,4,27.4
8.05,5,28.4
8.11,3.7,27.6
8.17,3.9,27.6
8.24,3.7,27.7
8.3,3.6,27.6
8.36,3.3,28.1
8.42,3.5,28.3
8.49,3.4,28.5
8.55,2.9,28.6
8.61,3.2,28.5
8.67,2.9,28.4
8.73,2.9,28.4
8.8,2.9,28.5
8.86,2.9,28.7
8.92,2.8,29.1
8.99,2.8,29.3
9.05,2.8,29.4
9.11,2.9,29.3
9.17,2.9,29.5
9.23,2.9,29.5
9.3,3,29.4
9.36,3.1,29.4
9.42,3.2,29.6
9.48,3.4,29.7
9.54,3.5,29.8
9.61,4,29.7
9.67,3.5,30.1
9.73,3.5,30
9.8,3.5,30
9.86,3.5,30.2
9.92,3.5,30
9.99,3.6,30.1
10.05,3.5,30.3
10.11,3.5,30.3
10.17,3.5,30.2
10.24,3.5,30.4
10.3,3.5,30.4
10.36,3.7,30.4
10.43,3.7,30.4
10.49,3.7,30.5
10.55,3.7,30.4
10.62,3.8,30.4
10.68,3.7,30.5
10.74,3.7,30.6
10.81,3.6,30.7
10.87,3.7,30.7
10.93,3.7,30.8
10.99,3.7,30.9
11.06,3.7,30.9
11.12,3.6,30.9
11.19,3.7,30.9
11.25,3.6,30.9
11.31,3.8,30.8
11.38,3.7,30.9
11.44,3.7,31
11.5,3.6,31.1
11.56,3.6,31.1
11.63,3.3,31.2
11.69,3.4,31.1
11.75,3.1,31.1
11.82,3.2,30.9
11.88,3,31.1
11.94,3,31.1
12.01,2.9,31
12.07,3.1,30.9
12.13,3,30.9
12.2,2.9,30.9
12.26,2.9,31
12.32,2.8,31
12.39,2.8,31.1
12.45,2.9,30.9
12.51,2.7,31.1
12.57,3.3,30.7
12.64,3.9,30.7
12.7,3.3,30.7
12.76,3.7,30.9
12.89,3.7,30.9
12.95,3.4,30.8
13.01,3.6,30.8
13.08,3.6,30.8
13.14,3.9,30.9
13.2,3.9,30.8
13.27,3.8,30.8
13.33,3.8,30.8
13.39,3.8,30.7
13.46,2.7,30.9
13.52,3.2,30.6
13.58,3.8,30.6
13.65,2.5,30.9
13.71,3,30.6
13.77,2.9,30.6
13.83,2.8,30.8
13.9,2.9,30.5
13.96,2.6,30.4
14.02,2.7,30.3
14.09,2.7,30.3
14.15,2.8,30.2
14.21,2.6,30.4
14.27,2.7,30.2
14.34,2.7,30.1
14.4,2.7,30
14.46,2.8,30
14.52,2.8,30
14.59,2.8,29.9
14.65,2.8,30
14.71,3,29.8
14.78,3,29.8
14.84,3,29.8
14.9,3.1,29.7
14.97,3.2,29.6
15.03,3.2,29.8
15.09,3,29.9
15.16,3,29.8
15.22,2.9,29.9
15.28,2.9,29.9
15.35,2.9,29.8
15.41,2.8,29.9
15.47,3.1,29.7
15.53,3,29.8
15.59,3,29.8
15.66,3,30
15.91,3.1,29.9
15.97,3.2,29.9
16.03,3.1,30.1
16.1,3.1,30.2
16.16,3,30.2
16.22,3.1,30.4
16.28,3.1,30.6
16.35,3.1,30.5
16.41,3.1,30.5
16.47,3.1,30.4
16.54,3.2,30.3
16.6,3.1,31
16.66,4.1,31.8
16.73,4.1,31.8
16.79,4.1,31.8
16.85,4.1,32
17.61,4.1,32.3
17.67,4.2,32.3
17.74,3.9,32.4
17.8,4.1,32.3
17.86,5.1,32
17.93,4.8,32
17.99,4.8,32.1
18.05,4.9,32.1
18.12,4.9,32.1
18.37,4.4,32.3
18.43,4.7,32.4
18.5,6,32.5
18.56,5.9,32.8
18.62,5.3,32.9
18.69,4.8,33
18.75,4.8,33
18.81,5.2,32.8
18.94,5.4,33.1
19,5.6,33.3
19.06,5.5,33.4
19.13,5.5,33.1
19.19,5.5,32.8
19.25,5.6,33.1
19.31,5.7,33.1
19.38,5.9,33.2
19.57,5.8,34.4
19.63,5.8,34.6
23.4,3.9,40.7
23.46,4.1,40.8
23.52,3.6,40.9
23.58,3.6,40.8
23.9,3.9,40.7
25.04,2.4,39.6
25.1,2.7,39.5
25.16,2.3,39.5
25.23,2.2,39.4
25.29,2,39.3
25.35,2.3,39.5
25.41,2.6,39.6
25.48,1.9,39.6
25.54,2.3,39.5
25.6,2.2,39.5
25.67,2.2,39.3
25.73,2,39.2
25.79,1.7,39.2
25.85,2,39.1
25.92,2.2,38.9
25.98,2.3,38.7
26.04,2.5,38.7
26.1,2.3,38.6
26.17,2.3,38.6
26.23,2.5,38.7
26.35,2.5,38.5
26.42,2.7,38.2
26.48,2.7,38
26.54,2.8,37.8
26.67,3,37.7
26.73,3,37.7
26.8,2.5,38
26.86,2.7,38.1
26.92,2.3,38.2
26.98,2.2,39.2
27.04,2,41.2
44.86,6.4,44.1
44.92,6.3,43.8
44.99,6.2,44.4
45.05,6.3,44.1
45.11,6.2,44
45.17,6.2,44
45.23,6.3,44
45.3,6.4,44
45.36,6.3,43.9
45.42,6.5,43.9
45.48,6.6,43.8
45.54,6.9,43.9
45.61,7.1,43.8
45.67,7.3,43.8
45.73,7.6,43.8
45.8,7.6,43.3
45.86,7.8,42.9
45.92,7.7,43.3
45.98,7.8,43.2
46.11,9,42.8
46.81,10.5,43.9
46.87,11.1,43.6
46.93,11.2,43.7
47,13.1,41.2
47.25,12.4,44.8
47.33,12.6,45.4
47.39,12.9,44.7
47.45,13.2,44.9
47.51,13.3,45.2
47.58,13.4,45.4
47.64,13.1,45.8
47.7,13.5,45.9
47.76,14,46.1
47.83,14.4,46.4
47.89,14.4,46.5
47.95,14.3,46.8
48.01,14.7,46.6
48.08,15,46.7
48.14,15.1,47.1
48.2,15.2,47.4
48.27,15.5,47.8
48.33,15.6,48.2
48.39,15.9,48.1
48.46,16.1,48
48.52,15.6,48.7
48.58,16,48.5
48.65,16.3,48.8
50.69,22.9,50.4
50.75,23.1,50.5
50.82,23.2,50.6
51.32,24.5,51.4
51.38,24.7,51.2
51.44,24.9,51.7
51.51,25.1,51.6
51.57,25.2,51.4
51.63,25.3,51.7
51.69,25.3,51.9
51.76,25.6,51.9
51.82,25.7,52
51.88,26.2,51.6
51.95,26.9,49
52.01,26.3,51.9
52.07,26.4,51.9
52.13,26.5,51.9
52.45,27.8,51.4
52.51,27.4,51.6
52.76,29.2,51.8
52.83,29.7,51.8
53.46,31.9,51.7
53.52,31.4,52.5
