timestamp_s,vicon_x_cm,vicon_y_cm
0.06,10.4,8.9
0.12,10.2,8.9
0.18,10.1,8.9
0.24,9.9,9.1
0.31,9.8,9.3
0.37,9.8,9.3
0.43,9.7,9.4
0.49,9.7,9.4
0.56,9.7,9.4
0.62,9.6,9.6
0.62,9.5,9.8
0.74,9.3,9.9
0.81,9.4,10
0.87,9.3,10
0.93,9.4,10.1
1,9.5,9.9
1.06,9.4,10
1.12,9.4,10
1.18,9.6,10
1.25,9.8,10
1.31,9.7,10.1
1.37,9.8,10.1
1.43,9.8,10.1
1.5,9.8,10.1
1.56,9.7,10.1
1.63,9.7,10.2
1.69,9.6,10.2
1.75,9.7,10.3
1.81,9.7,10.3
1.88,9.7,10.3
1.94,9,10.4
2,9.5,10.2
2.07,9.6,10.3
2.13,9.6,10.3
2.19,9.6,10.3
2.25,8.7,10.6
2.32,9.6,10.6
2.38,9.4,10.6
2.44,9.4,10.6
2.51,9.4,10.6
2.57,9.5,10.6
2.63,8.9,10.3
2.7,9.3,10.7
2.76,9.4,10.7
2.82,9.3,10.5
2.88,9.2,10.5
2.94,9.5,10.6
3.01,9.3,10.5
3.07,9.7,10.7
3.13,9.7,10.6
3.19,9.7,10.6
3.25,9.8,10.6
3.31,9.8,10.6
3.38,9.7,10.7
3.44,9.7,10.7
3.5,9.7,10.7
3.57,9.7,10.7
3.63,9.7,10.7
3.69,9.7,10.8
3.76,9.7,10.8
3.82,9.6,10.9
3.88,9.6,10.9
3.95,9.6,10.9
4.01,9.6,10.9
4.07,9.6,10.8
4.13,9.5,10.9
4.2,9.5,10.8
4.26,9.5,10.8
4.32,9.6,10.9
4.39,9.6,10.9
4.45,9.6,10.9
4.51,9.6,10.9
4.57,9.6,10.9
4.63,9.7,10.9
4.7,9.7,10.9
4.76,9.7,11
4.82,9.7,11
4.88,9.7,11
4.95,9.7,11
5.01,9.7,11
5.07,9.7,10.9
5.13,9.7,11
5.19,9.7,11
5.26,9.7,11
5.32,9.7,10.9
5.38,9.7,10.9
5.45,9.6,11
5.51,9.6,11
5.57,9.6,11
5.64,9.6,11
5.7,9.6,11
5.76,9.6,11
5.82,9.6,11
5.89,9.6,11
5.95,9.6,11
6.02,9.6,11
6.08,9.6,11
6.14,9.6,11
6.2,9.6,11
6.26,9.7,11
6.33,9.7,11
6.39,9.7,11
6.45,9.7,11
6.51,9.7,11
6.58,9.7,11
6.64,9.7,11
6.7,9.7,11
6.76,9.7,11
6.83,9.8,11
6.89,9.7,11
6.95,9.7,11
7.01,9.7,11
7.08,9.7,11
7.14,9.7,11
7.2,9.7,11
7.26,9.8,11
7.33,9.8,11
7.39,9.8,11
7.45,9.8,11
7.52,9.6,10.9
7.58,9.6,10.9
7.64,9.6,10.9
7.7,9.7,11
7.77,9.7,11
7.83,9.7,11
7.89,9.7,11
7.95,9.7,11
8.02,9.7,11
8.08,9.7,11
8.14,9.7,11
8.2,9.7,11
8.27,9.7,11
8.33,9.7,11
8.39,9.7,11
8.45,9.7,11
8.58,9.7,11
8.64,9.7,11
8.7,9.7,11
8.76,9.8,11
8.83,9.8,11
8.89,9.7,11
8.95,9.7,11
9.01,9.7,11
9.08,9.7,11
9.14,9.7,11
9.2,9.7,11
9.27,9.7,11
9.33,9.7,11
9.39,9.7,11
9.45,9.7,11
9.52,9.7,11
9.58,9.7,11
9.64,9.7,11
9.71,9.7,11
9.77,9.7,11
9.83,9.7,11
9.9,9.7,11
9.96,9.7,11
10.02,9.5,10.9
10.09,9.7,11
10.15,9.7,11
10.21,9.7,11
10.28,9.7,11
10.34,9.7,11
10.4,9.7,11
10.46,9.7,11
10.53,9.8,11
10.59,9.7,11
10.65,9.7,11
10.72,9.5,10.9
10.78,9.6,11
10.84,9.6,11
10.91,9.6,11
10.97,9.6,11
11.03,9.6,11
11.1,9.6,11
11.16,9.7,11
11.22,9.7,11
11.28,9.7,11
11.35,9.7,11
11.41,9.7,11
11.47,9.7,11
11.53,9.7,11
11.6,9.7,11
11.66,9.7,11
11.72,9.8,11
11.79,9.8,11
11.85,9.8,11
11.91,9.8,11
11.97,9.8,11
12.04,9.8,11
12.1,9.7,11
12.17,9.8,11
12.23,9.8,11
12.29,9.8,11
12.35,9.8,11
12.42,9.8,11
12.48,9.7,11
12.54,9.7,11
12.61,9.7,11
12.67,9.7,11
12.73,9.8,11
12.8,9.7,11
12.86,9.7,11
12.92,9.5,11
12.98,9.6,11
13.05,9.6,11
13.11,9.8,11.1
13.17,9.7,11
13.23,9.8,11
13.29,8.2,11.9
13.36,9.6,11
13.42,9.6,11
13.48,9.8,11
13.55,9.8,11
13.61,9.8,11
13.67,9.8,11
13.73,9.9,11.1
13.86,9.9,11.1
13.92,9.9,11.1
13.92,9.9,11.1
14.05,9.9,11.1
14.11,9.9,11.1
14.17,9.9,11.1
14.24,9.9,11.1
14.3,9.9,11.1
14.36,9.9,11.1
14.42,9.9,11.1
14.49,9.9,11.1
14.55,9.9,11.1
14.61,9.9,11.1
14.67,9.9,11.2
14.74,9.8,11.3
14.8,9.7,11.6
14.87,9.5,11.7
14.93,9.4,11.8
14.99,9.4,11.8
15.05,9.5,12.1
15.12,9.5,12.1
15.18,9.5,12.4
15.24,9.5,12.3
15.3,9.4,12.1
15.37,9.6,12.3
15.43,9.6,12.3
15.49,9.6,12.3
15.56,9.6,12.3
15.62,9.6,12.3
15.68,9.7,12.3
15.74,9.8,12.3
15.81,9.9,12.4
15.87,9.9,12.4
15.93,9.9,12.4
16,9.9,12.4
16.06,9.9,12.4
16.12,10,12.4
16.19,9.6,12.2
16.25,10.1,12.4
16.31,10.3,12.4
16.37,10.3,12.4
16.44,10.3,12.5
16.5,10.3,12.5
16.56,10.3,12.4
16.62,10.4,12.4
16.69,10.4,12.5
16.69,10.5,12.4
16.81,10.5,12.5
16.88,10.5,12.5
16.94,10.5,12.5
17,10.5,12.5
17.07,10.5,12.5
17.13,10.5,12.5
17.19,10.5,12.5
17.25,10.5,12.5
17.31,10.6,12.7
17.38,10.7,12.9
17.44,10.7,12.9
17.5,10.7,13
17.56,10.8,13
17.63,10.8,13
17.69,11,13.1
17.75,11.3,13.4
17.82,11.4,13.4
17.88,11.5,13.4
17.94,11.5,13.4
18,11.6,13.3
18.06,11.6,13.3
18.13,11.6,13.3
18.19,11.6,13.4
18.25,11.7,13.4
18.31,11.9,13.5
18.38,12,13.5
18.44,12.1,13.5
18.5,12.2,13.5
18.56,12.1,13.7
18.62,12.2,13.7
18.69,12.2,13.8
18.75,12.1,13.9
18.81,12,14.1
18.87,12.1,14.1
18.93,12.1,14.1
19,12.1,14.1
19.06,11.5,13.5
19.12,11.6,13.2
19.19,11.6,13.2
19.25,11.4,13.3
19.31,11,13.2
19.37,11,13
19.44,10.9,12.7
19.5,10.6,12.6
19.56,10,12.1
19.63,9.5,12
19.69,9.7,12
19.75,9.6,12.1
19.82,9.6,12.1
19.88,9.4,11.9
19.94,9.2,11.8
20,9,11.7
20.06,8.9,11.6
20.13,8.8,11.5
20.19,8.9,11.4
20.25,8.9,11.3
20.31,8.8,11.2
20.38,8.7,11.1
20.44,8.6,11
20.5,8.5,11
20.56,8.5,10.9
20.63,8.5,10.8
20.69,8.5,10.8
20.75,8.5,10.8
20.82,8.5,10.8
20.88,8.5,10.8
20.94,8.5,10.8
21.01,8.5,10.8
21.07,8.5,10.8
21.13,8.4,10.9
21.19,8.5,10.9
21.26,8.5,10.9
21.32,8.5,11
21.38,8.5,11
21.44,8.5,11
21.51,8.5,11
21.57,8.5,11
21.63,8.5,11
21.69,7.8,15
21.76,8.4,11.2
21.82,8.5,11.2
21.88,8.5,11.1
21.94,8.4,11.2
22.01,8.5,11.1
22.07,8.4,11.2
22.13,8.2,11.2
22.19,8.2,11.2
22.26,8.2,11.2
22.38,8.3,11.3
22.44,8.3,11.4
22.5,8.2,11.3
22.57,8.1,11.4
22.63,8,11.6
22.69,7.9,11.6
22.76,7.8,11.4
22.82,7.6,11.4
22.89,7.4,11.3
22.95,7.2,11.1
23.01,7.2,10.9
23.07,7.1,10.7
23.14,7.1,10.7
23.2,7,10.7
23.26,7,10.6
23.33,7.3,10.6
23.39,7.3,10.4
23.45,7.3,10.3
23.52,7.3,10.2
23.58,7.3,10.1
23.64,7.4,10.1
23.7,7.4,10.1
23.77,7.3,10.1
23.83,7.3,10.1
23.89,7.2,10.1
23.96,7.2,10.1
24.02,7.2,10.1
24.08,7.2,10.1
24.14,6.9,10.6
24.21,7.2,10.2
24.27,7.1,10.3
24.33,7.1,10.2
24.4,7.1,10.2
24.46,7.1,10.1
24.52,7,9.9
24.59,6.7,9.8
24.65,6.2,9.5
24.71,6.7,9.8
24.77,6.8,9.8
24.84,6.5,9.6
24.9,6.5,9.6
24.96,6.7,9.6
25.03,6.8,9.4
25.09,6.9,9.3
25.15,6.9,9.3
25.22,6.8,9.3
25.28,6.6,9.3
25.34,6.5,9
25.4,6.7,9.1
25.47,6.6,8.7
25.53,6.4,8.4
25.59,7,8.5
25.66,7.1,8.5
25.72,7.3,8.4
25.78,7.3,8.4
25.85,7.3,8.3
25.91,7,8
25.97,7.1,7.9
26.04,6.9,7.7
26.1,6.9,7.7
26.16,6.9,7.7
26.22,6.8,7.8
26.29,6.8,7.8
26.35,6.8,7.8
26.41,6.8,7.8
26.47,6.8,7.7
26.53,6.8,7.6
26.6,6.8,7.5
26.66,6.7,7.5
26.72,6.8,7.5
26.78,5.4,6.9
26.85,6.8,7.5
26.91,6.8,7.5
26.97,6.8,7.5
27.04,6.7,7.5
27.1,5.5,6.9
27.17,6.4,7.1
27.23,6.9,7.7
27.29,7.9,7.9
27.35,5.6,6.3
27.42,6.5,7.2
27.48,6.5,6.5
27.54,6.7,6.4
27.61,6.9,6.2
27.67,7,5.9
27.73,7.1,5.8
27.8,7.1,5.9
27.86,7.2,6
27.92,7.4,5.9
27.99,7.7,5.8
28.05,7.9,5.4
28.11,8,5.6
28.18,8.2,5.4
28.24,8.4,5.3
28.3,8.6,5.3
28.36,8.8,5.3
28.43,9,5.1
28.49,9.2,5.2
28.55,9.5,5.1
28.61,9.6,5.1
28.68,9.7,5.1
28.74,9.8,5.1
28.8,9.8,5.1
28.86,10.1,5.1
28.93,10.3,5
28.99,10.4,5
29.05,10.7,5
29.12,11.2,5.1
29.18,12.1,5.3
29.24,12.4,5.5
29.3,12.6,5.5
29.36,12.7,5.4
29.43,12.8,5.3
29.49,12.9,5.4
29.55,13.6,5.7
29.67,13.6,5.5
29.73,13.8,5.6
29.8,14,5.5
29.86,14.2,5.5
29.92,14.4,5.5
29.99,14.5,5.4
30.05,14.6,5.3
30.05,14.7,5.4
