timestamp_s,vicon_x_cm,vicon_y_cm
0,9.9,8.3
0.05,9.6,8
0.12,9.5,7.8
0.18,9.4,7.7
0.24,11.7,9.1
0.3,8.9,7.4
0.81,7.8,6.2
0.87,7.7,6
0.93,7.6,5.9
0.99,7.5,5.9
1.06,7.5,5.8
1.12,7.4,5.8
1.18,7.3,5.7
1.24,7.2,5.7
1.43,6.9,5.5
1.49,6.8,5.4
1.55,6.8,5.5
1.62,6.8,5.4
1.68,6.7,5.4
1.74,6.6,5.4
1.8,6.5,5.3
1.87,6.5,5.2
1.93,6.5,5.1
1.99,6.5,5.1
2.05,9.3,6.7
2.12,8.1,6.1
2.18,6.3,5.1
2.24,6.2,5.1
2.3,6.1,5.1
2.37,6.2,5.2
2.43,6.1,5.2
2.49,6,5.2
2.55,6,5.2
2.61,6.1,5.2
2.68,6,5.2
2.74,6,5.1
2.8,6,5.1
2.87,6,4.9
2.93,6.1,4.9
2.99,6,5
3.05,6.1,5
3.12,6.1,5.1
3.18,6,5.1
3.24,5.9,5.1
3.3,5.9,5.1
3.36,5.9,5.1
3.55,5.9,5.2
3.8,5.8,5.5
3.99,6,5.6
4.06,5.9,5.6
4.12,6,5.8
4.18,5.8,5.9
4.24,5.7,6
4.3,5.7,6
4.37,5.6,6
4.43,5.6,6
4.5,5.5,6.1
4.56,5.5,6.1
4.62,5.4,6.2
4.68,5.4,6.3
4.74,5.3,6.4
4.81,5.2,6.4
4.87,5.2,6.5
4.93,5.2,6.6
4.99,5,6.7
5.05,4.7,6.8
5.12,4.7,7.1
5.18,4.7,7.3
5.24,4.5,7.3
5.3,4.4,7.3
5.36,4.3,7.4
5.42,4.2,7.5
5.49,4.2,7.5
5.55,4.2,7.6
5.61,4.1,7.8
5.67,4,8
5.74,4,8.3
5.8,3.8,8.4
5.86,3.9,8.6
5.93,3.7,8.7
5.99,3.6,9
6.05,3.5,9.2
6.11,6.3,11
6.18,3.5,9.5
6.24,3.5,9.8
6.3,3.5,10
6.37,3.5,10.3
6.43,3.6,10.5
6.49,3.6,10.6
6.62,3.5,10.9
6.68,3.6,11.2
6.74,3.5,11.3
6.81,3.5,11.4
6.87,3.5,11.5
6.93,3.5,11.6
6.99,3.6,11.8
7.06,3.7,11.9
7.12,3.6,12
7.18,3.6,12.2
7.25,3.7,12.4
7.31,3.6,12.5
7.44,4,13.1
7.56,4,13.5
7.63,3.8,13.7
7.69,3.8,13.9
7.75,3.7,14
7.81,3.7,14.2
7.88,8.4,16.9
7.94,3.5,14.6
8,3.3,14.8
8.07,3.3,15
8.13,3.3,15.3
8.19,3.3,15.5
8.26,3.4,15.7
8.32,3.4,16
8.38,3.5,16.3
8.44,3.4,16.4
8.51,3.5,16.6
8.57,3.5,16.7
8.63,3.6,16.9
8.7,3.4,17
8.76,3.5,17.3
8.82,3.3,17.4
8.88,3.3,17.5
8.94,3.2,17.7
9.01,3.3,17.9
9.07,3.2,18
9.13,3.1,18.1
9.2,3.1,18.2
9.26,3.1,18.2
9.32,3.1,18.2
9.39,3.3,18.3
9.45,3.5,18.5
9.51,3.5,19
9.69,3.4,19.6
9.76,3.5,19.9
9.82,3.6,20.1
9.88,3.6,20.1
9.95,4.3,20.7
10.01,4,20.9
10.07,2,20.3
10.13,3.5,21.3
10.2,3.6,21.7
10.26,3.7,22
10.32,3.9,22.2
10.38,3.9,22.6
10.44,3.9,22.8
10.51,4,23
10.57,4,23.1
10.63,3.7,23.3
10.7,3.8,23.8
10.76,3.7,24.1
10.82,3.6,24.5
10.88,3.7,24.7
10.94,3.8,25.1
11.01,3.8,25.4
11.07,3.9,25.7
11.13,4,26.1
11.2,3.7,26.2
11.26,3.8,26.5
11.32,3.6,26.6
11.38,3.6,26.9
11.45,3.4,27.2
11.51,3.3,27.4
11.57,3.1,27.8
11.64,3.3,27.9
11.7,3.7,28.2
11.76,3.8,28.5
11.83,3.9,28.9
11.89,3.8,29.3
11.95,3.6,29.3
12.01,3.9,29.7
12.08,3.5,29.9
12.14,3.4,30.2
12.2,3.4,30.6
12.27,3.4,30.8
12.33,4,31
12.39,3.5,31.2
12.45,3.4,31.3
12.52,3.4,31.5
12.58,3.4,31.7
12.64,3.4,31.7
12.7,3.2,31.7
12.89,2.7,31.6
12.96,3.2,31.8
13.02,3.1,31.8
13.08,3.1,31.8
13.21,3.2,31.8
13.27,3,31.7
13.33,2.3,31.4
13.4,3,31.9
13.46,2.8,31.9
13.52,2.8,32
13.59,2.8,32
16.6,4.4,34.5
16.73,4.5,34.7
16.79,4.6,35
16.85,4.6,35.3
16.92,4.6,35.4
16.98,4.5,35.5
17.04,4.6,35.7
17.1,4.6,36
17.17,4.4,36.2
17.23,4.3,36.4
17.29,4.2,36.4
17.35,4.3,36.6
17.42,4.4,36.8
17.48,3.8,36.7
17.54,3.8,36.8
17.61,4.2,37.1
