timestamp_s,vicon_x_cm,vicon_y_cm
1.38,10,10.2
1.44,10,10.4
1.51,10,10.3
1.57,10,10.4
1.63,10.3,10.4
1.7,10,10.2
1.76,10,10.2
1.82,10,10.2
1.89,10,10.2
1.95,10,10.2
2.01,9.9,10.3
2.07,10,10.2
2.14,10,10.2
2.2,10,10.2
2.28,10,10.2
2.44,9.2,10.8
2.5,9.2,10.8
2.57,9.2,10.8
2.63,9.6,10.6
2.75,9.2,10.8
2.82,9.2,10.8
2.88,9.2,10.8
3.14,9.2,10.8
3.14,9.1,10.8
3.26,9.1,10.8
3.34,9.1,10.8
3.68,9.8,10.2
3.75,9.8,10.2
3.81,9.8,10.1
3.87,9.8,10.1
3.94,9.8,10.1
4.06,9.7,10.1
4.12,9.7,10.1
4.18,9.7,10.1
4.25,9.7,10.1
4.31,9.6,10.3
4.37,9.6,10.3
4.43,9.5,10.4
4.51,9.6,10.3
4.57,8.8,10.4
4.64,10,10.2
4.7,9.5,10.3
4.82,9.8,10
4.96,9.5,10
5.03,9.4,10.1
5.03,9.1,10
5.17,9.1,10
5.29,9.4,10
5.35,9.5,9.9
5.42,9.4,9.8
5.48,9.4,9.9
5.6,9.3,9.9
5.67,9.3,9.8
5.73,9.4,9.9
5.79,9.4,9.9
5.86,9.4,9.8
5.92,9.3,9.8
5.98,9.3,9.8
6.04,8.9,9.7
6.11,9.4,9.7
6.17,9.4,9.6
6.23,9.3,9.7
6.29,9.4,9.6
6.36,9.4,9.6
6.42,9.3,9.6
6.48,9.3,9.5
6.56,9.3,9.5
6.56,9.4,9.5
6.73,9.3,9.7
6.86,9.5,9.3
6.92,9.4,9.4
6.99,9.3,9.5
7.05,8.5,9.5
7.11,8.4,9.6
7.18,9.9,9.4
7.24,8.7,9.5
7.3,8.7,9.5
7.36,9.5,9.3
7.43,9.7,9.2
7.49,10.2,8.8
7.59,9.4,9.1
7.66,9.4,8.9
7.73,9.4,9
7.79,9.4,9
7.85,9.4,9
7.91,9.4,9
7.98,9.4,8.8
8.04,9.4,8.8
8.1,9.4,8.7
8.17,9.4,8.7
8.23,8.7,9.2
8.29,8.7,9.2
8.37,8.7,9.2
8.37,9.1,8.6
8.66,9.2,8.5
8.72,8.6,9
8.78,8.6,9.1
8.85,8.6,9.1
9.11,8.5,8.9
9.21,8.5,8.9
9.27,8.6,9
9.33,8.9,8.6
9.39,9.2,8.3
9.46,9.3,8.2
9.52,9.2,8.2
9.58,9.2,8.1
9.64,9.3,7.9
9.71,8.5,8.8
9.77,8.5,8.9
9.83,8.9,8.4
9.89,8.5,8.8
9.95,9.2,8.4
10.02,8.5,8.8
10.08,8.5,8.7
10.14,8.4,8.7
10.2,8.4,8.7
10.5,8.2,8.4
10.56,8.6,8.5
10.62,8.5,8.6
10.69,8.5,8.5
10.81,8.5,8.5
10.81,9.4,7.8
11,9.2,7.7
11.06,8.5,8.4
11.12,8.5,8.3
11.19,8.5,8.3
11.25,8.5,8.3
11.31,8.5,8.3
11.37,8.5,8.3
11.44,8.5,8.3
11.5,8.3,7.9
11.56,8.4,8.4
11.62,8.5,8.2
11.69,8.5,8.2
11.76,8.5,8.2
11.83,8.3,8.3
11.89,8.4,8.1
11.95,8.4,8.1
12.09,9.2,7.5
12.18,9.2,7.6
12.25,9.1,7.5
12.34,8.3,8.1
12.55,9.2,7.5
12.61,8.9,7.3
12.67,7.6,6.5
12.73,8.2,8.3
12.8,8.4,8.1
12.86,8.4,8.1
12.94,8.4,8.1
13,8.4,8.1
13.06,8.4,8.2
13.12,8.4,8.2
13.18,8.4,8.1
13.25,8.4,8.1
13.31,8.4,8.2
13.37,8.4,8.2
13.51,8.4,8.2
13.59,8.4,8.2
13.71,8.4,8.3
13.79,8.4,8.2
13.89,8.4,8
13.95,8.4,8
13.95,8.9,7.4
14.12,8.9,7.3
14.19,8.9,7.3
14.25,8.9,7.3
14.31,8.8,7.3
14.37,8.8,7.3
14.43,8.8,7.3
14.5,8.8,7.3
14.56,8.8,7.3
14.62,8.8,7.3
14.68,8.8,7.3
14.75,8.8,7.3
14.81,8.8,7.3
14.87,8.8,7.3
14.93,8.8,7.3
15,8.8,7.3
15.06,8.8,7.3
15.12,8.8,7.3
15.19,8.8,7.3
15.25,8.8,7.3
15.31,8.8,7.3
15.37,8.8,7.3
15.44,8.8,7.3
15.5,8.8,7.3
15.56,8.8,7.3
15.62,8.8,7.3
15.69,8.8,7.3
15.75,8.8,7.3
15.81,8.8,7.3
15.94,8.8,7.3
16,8.8,7.3
16.07,8.8,7.3
16.13,8.8,7.3
16.19,8.8,7.3
16.25,8.8,7.3
16.32,8.8,7.3
16.38,8.8,7.3
16.44,8.8,7.3
16.51,8.8,7.3
16.57,8.8,7.3
16.63,8.8,7.3
16.69,8.8,7.3
16.76,8.8,7.3
16.82,8.8,7.3
16.88,8.8,7.3
16.95,8.8,7.3
17.01,8.8,7.3
17.07,8.8,7.3
17.14,8.8,7.3
17.2,8.8,7.3
17.26,8.8,7.3
17.32,8.8,7.3
17.39,8.8,7.3
17.45,8.8,7.3
17.51,8.8,7.3
17.58,8.8,7.3
17.64,8.8,7.3
17.71,8.8,7.3
17.77,8.8,7.3
17.83,8.8,7.3
17.89,8.8,7.3
17.96,8.8,7.3
18.02,8.8,7.3
18.08,8.8,7.3
18.14,8.8,7.3
18.21,8.8,7.3
18.27,8.8,7.3
18.33,8.8,7.3
18.4,8.8,7.3
18.46,8.8,7.3
18.52,8.8,7.3
18.58,8.8,7.3
18.65,8.8,7.3
18.71,8.8,7.3
18.77,8.8,7.3
18.84,8.8,7.3
18.9,8.8,7.3
18.96,8.8,7.3
19.03,8.8,7.3
19.09,8.8,7.3
19.15,8.8,7.3
19.22,8.8,7.3
19.28,8.8,7.3
19.34,8.8,7.3
19.41,8.8,7.3
19.47,8.8,7.3
19.53,8.8,7.3
19.59,8.8,7.3
19.66,8.8,7.3
19.72,8.8,7.3
19.78,8.8,7.3
19.84,8.8,7.3
19.91,8.8,7.3
19.97,8.8,7.3
20.03,8.8,7.3
20.09,8.8,7.3
20.16,8.8,7.3
20.22,8.8,7.3
20.28,8.8,7.3
20.34,8.8,7.3
20.41,8.8,7.3
20.47,8.8,7.3
20.53,8.8,7.3
20.59,8.8,7.3
20.66,8.8,7.3
20.72,8.8,7.3
20.78,8.8,7.3
20.85,8.8,7.3
20.91,8.8,7.3
20.97,8.8,7.3
21.03,8.8,7.3
21.09,8.8,7.3
21.16,8.8,7.3
21.22,8.8,7.3
21.28,8.8,7.3
21.34,8.8,7.3
21.41,8.8,7.3
21.47,8.8,7.3
21.53,8.8,7.3
21.59,8.8,7.3
21.66,8.8,7.3
21.72,8.8,7.3
21.79,8.8,7.3
21.85,8.8,7.3
21.91,8.8,7.3
21.97,8.8,7.3
22.03,8.8,7.3
