Time(s),X_cm,Y_cm,X_px_raw,Y_px_raw
0.433,10.600144092791307,9.706913320846054,1210.71,915.7571
0.467,10.6001423983195,9.70690534898297,1210.71,915.7572
0.5,10.600140703847693,9.706897377119885,1210.71,915.7573
0.533,10.089184538741728,9.481531536382148,1204.702,919.7656
0.567,9.579671753525805,9.256792083606848,1198.711,923.7627
0.6,9.579664975638574,9.2567601961545,1198.711,923.7631
0.633,9.026092894568702,9.374800515881688,1191.203,923.7586
0.667,8.493255297857285,9.404738301487397,1184.207,924.7586
0.7,8.493478215690422,9.404699250873438,1184.21,924.7585
0.733,8.067761828817861,9.577816845355843,1178.209,923.7668
0.767,8.067547446537372,9.577170854878668,1178.208,923.7751
0.8,8.067333064256879,9.576524864401485,1178.207,923.7834
0.833,7.715424697868926,9.734645638663613,1173.205,922.7834
0.867,7.641678494008483,9.750295882089846,1172.205,922.7837
0.9,7.641675105064866,9.750279938363668,1172.205,922.7839
0.933,7.641670021649443,9.750256022774405,1172.205,922.7842
0.967,7.641666632705828,9.750240079048236,1172.205,922.7844
1.0,7.019999375960337,9.551181174672722,1164.688,926.7594
1.033,6.617790866732119,9.469757591580915,1159.694,928.7627
1.067,6.36369174254367,9.357760578580484,1156.706,930.7551
1.1,6.364629980254166,9.358186052562806,1156.717,930.7476
1.133,5.962614767199269,9.276221461049738,1151.727,932.7569
1.167,5.872111931631434,9.213037950411938,1150.727,933.7461
1.2,5.889214425168441,9.291323263325939,1150.733,932.7629
1.233,5.889440858332425,9.289850355625008,1150.74,932.78
1.267,5.889663902552794,9.288361504197907,1150.747,932.7973
1.3,5.889886946773146,9.2868726527708,1150.754,932.8146
1.333,5.980190397532313,9.352381521325494,1151.745,931.798
1.367,6.054212111045564,9.336214454634423,1152.75,931.8032
1.4,6.054422351936944,9.33575316484402,1152.754,931.8082
1.433,6.054630898356536,9.335283903190538,1152.758,931.8133
1.467,6.054839444776112,9.33481464153706,1152.762,931.8184
1.5,6.055049685667512,9.334353351746664,1152.766,931.8234
1.533,5.9792240827080665,8.973995948448628,1152.776,936.3418
1.567,5.90596513428278,8.99085075190242,1151.779,936.3264
1.6,5.906384547652014,8.992461337813083,1151.78,936.306
1.633,5.906733608844423,8.994103541608942,1151.78,936.2854
1.667,5.907156411157274,8.995730071245774,1151.781,936.2648
1.7,5.90757751899832,8.997348629019534,1151.782,936.2443
1.733,5.908007099198399,8.999007046108712,1151.783,936.2233
1.767,5.908434984926692,9.000657491334808,1151.784,936.2024
1.8,5.908862870654965,9.002307936560902,1151.785,936.1815
1.833,5.90929245085505,9.003966353650094,1151.786,936.1605
1.867,5.9093186203776416,9.005177268137794,1151.783,936.1459
1.9,5.909418531020695,9.006372508466473,1151.781,936.1313
1.933,5.908947215083678,9.00705593215467,1151.773,936.1243
1.967,5.908474204674869,9.00773138397977,1151.765,936.1174
2.0,5.908002888737853,9.008414807667958,1151.757,936.1104
2.033,5.9075298783290275,9.009090259493059,1151.749,936.1035
2.067,5.907128098929741,9.00937562916124,1151.743,936.1011
2.1,5.906726319530469,9.009660998829405,1151.737,936.0987
2.133,5.906333012490217,9.00998622781301,1151.731,936.0958
2.167,5.905943094393582,9.010327400522792,1151.725,936.0927
2.2,5.905554870768772,9.010676545095656,1151.719,936.0895
2.233,5.9051649526721395,9.011017717805439,1151.713,936.0864
2.267,5.904669098490713,9.011223099275592,1151.706,936.0852
2.3,5.921607038681538,9.090909842689893,1151.706,935.0856
2.333,5.92114086935357,9.090892281560773,1151.7,935.087
2.367,5.920748441146027,9.09085904627264,1151.695,935.0884
2.4,5.920282271818058,9.090841485143518,1151.689,935.0898
2.433,5.919889843610516,9.090808249855385,1151.684,935.0912
2.467,5.918937234486476,9.089952564833535,1151.674,935.1039
2.5,5.828917702545526,9.024691632736001,1150.686,936.1168
2.533,5.8295840091276725,9.023475172489638,1150.698,936.1297
2.567,5.830176574589357,9.022274386402284,1150.709,936.1426
2.6,5.830842881171488,9.021057926155924,1150.721,936.1555
2.633,5.83143714110498,9.019865111931653,1150.732,936.1683
2.667,5.854777266040369,8.764534719911865,1151.739,939.1732
2.7,5.872780718908096,8.843070125820278,1151.756,938.1847
2.733,5.8738241402578755,8.842540054500843,1151.771,938.1884
2.767,5.87494299719992,8.842002280885472,1151.787,938.192
2.8,5.876061854141964,8.841464507270103,1151.803,938.1956
