Time(s),X_cm,Y_cm,X_px_raw,Y_px_raw
0.0,10.251843712645922,12.67692030682819,1198.0,881.0
0.033,10.251771665997286,12.676943952850289,1197.999,880.9999
0.067,10.308494327243807,12.581566837127165,1198.998,881.9999
0.1,10.308422280595172,12.581590483149263,1198.997,881.9998
0.133,10.111137445518079,12.373197034219254,1197.012,885.0042
0.167,10.01862929147829,12.309281614428773,1195.988,886.0073
0.2,10.090474355286135,12.293752181632984,1196.963,886.0104
0.233,10.08865203976942,12.293881233693668,1196.939,886.0135
0.267,9.997770521349345,12.22855356145271,1195.94,887.0294
0.3,9.889342241810548,12.086476450201902,1194.925,889.0112
0.333,9.88854621334471,12.088170413532,1194.91,888.9929
0.367,9.870803772328989,12.010137774132351,1194.895,889.9747
0.4,9.870007743863155,12.011831737462439,1194.88,889.9564
0.433,9.86921002092549,12.013517728929443,1194.865,889.9382
0.467,9.851380409402097,11.933987187970978,1194.853,890.9382
0.5,9.85035663246213,11.93279668469949,1194.843,890.9551
0.533,9.849406596642604,11.931590507268984,1194.834,890.972
0.567,9.848384514174445,11.93040797586058,1194.824,890.9888
0.6,9.847360737234474,11.929217472589084,1194.814,891.0057
0.633,9.863357113964813,12.007737897888314,1194.805,890.0225
0.667,9.862333337024847,12.006547394616826,1194.795,890.0394
0.7,9.772174668814818,11.942807470965906,1193.801,891.0344
0.733,9.77262809800744,11.94312769332516,1193.806,891.0294
0.767,9.771783056246393,11.9431406718126,1193.795,891.0314
0.8,9.771783056246393,11.9431406718126,1193.795,891.0314
0.833,9.7717847507182,11.943148643675684,1193.795,891.0313
0.867,9.69944559039434,11.958166529398131,1192.815,891.0356
0.9,9.700919597164141,11.957486610083,1192.836,891.04
0.933,9.702319862813496,11.956822364926877,1192.856,891.0444
0.967,9.703793869583295,11.956142445611736,1192.877,891.0488
1.0,9.70519413523265,11.95547820045562,1192.897,891.0532
1.033,9.70666814200245,11.954798281140478,1192.918,891.0576
1.067,9.469302805748807,11.921164951849121,1189.931,892.0668
1.1,9.469234148043789,11.92120454159739,1189.93,892.0665
1.133,9.469240925931018,11.921236429049737,1189.93,892.0661
1.167,9.469247703818251,11.921268316502085,1189.93,892.0657
1.2,9.469252787233675,11.921292232091348,1189.93,892.0654
1.233,9.469259565120904,11.921324119543685,1189.93,892.065
1.267,9.469266343008137,11.921356006996033,1189.93,892.0646
1.3,9.271691626864692,11.713049170291336,1187.941,895.0687
1.333,9.27250704696591,11.712534233996598,1187.953,895.0728
1.367,9.274600667552711,11.711505978810074,1187.983,895.0798
1.4,9.34574911386673,11.694874811505375,1188.952,895.0979
1.433,9.343081004143473,11.6939255055121,1188.92,895.1161
1.467,9.255034469322919,11.630694817981738,1187.952,896.0996
1.5,9.257600031904998,11.631524276461565,1187.983,896.0831
1.533,9.260235946663926,11.632322117056193,1188.015,896.0668
1.567,9.189056999857362,11.648809790825318,1187.046,896.0505
1.6,9.191619173495827,11.649623305578967,1187.077,896.0342
1.633,9.194255088254733,11.650421146173597,1187.109,896.0179
1.667,9.193200747628621,11.649812049773118,1187.097,896.0279
1.7,9.103063291913012,11.585809324207501,1186.104,897.026
1.733,9.103683721369112,11.585827424470935,1186.112,897.0242
1.767,9.104302456353391,11.585837552871281,1186.12,897.0225
1.8,9.104922885809497,11.585855653134715,1186.128,897.0207
1.833,9.1055433152656,11.585873753398154,1186.136,897.0189
1.867,9.106162050249896,11.585883881798505,1186.144,897.0172
1.9,9.106782479705998,11.585901982061939,1186.152,897.0154
1.933,9.107402909162102,11.585920082325375,1186.16,897.0136
1.967,8.96506335491453,11.28212737390143,1185.151,901.0228
2.0,8.965137096034972,11.282111699742416,1185.152,901.0228
2.033,8.966109286375211,11.2819717105799,1185.165,901.022
2.067,9.037088095927611,11.266718058186257,1186.128,901.024
2.1,9.034401220627252,11.267130862512166,1186.092,901.0259
2.133,8.945791931585667,11.203428217656754,1185.118,902.0165
2.167,8.94786678659537,11.203762072789404,1185.144,902.0072
2.2,8.949867900484627,11.204111602081081,1185.169,901.9979
2.233,8.934999731888063,11.124734798210168,1185.195,902.9885
2.267,8.93707628136957,11.125076625205914,1185.221,902.9791
2.3,8.939152830851082,11.125418452201659,1185.247,902.9697
2.333,8.941229380332576,11.125760279197406,1185.273,902.9603
2.367,9.005687402352585,10.696199145308555,1187.294,907.9514
2.4,9.077880022461873,10.680129243225823,1188.275,907.9601
2.433,9.077880022461873,10.680129243225823,1188.275,907.9601
2.467,9.077880022461873,10.680129243225823,1188.275,907.9601
2.5,9.077880022461873,10.680129243225823,1188.275,907.9601
2.533,9.077880022461873,10.680129243225823,1188.275,907.9601
2.567,9.077953763582315,10.680113569066807,1188.276,907.9601
2.6,9.077953763582315,10.680113569066807,1188.276,907.9601
2.633,9.077953763582315,10.680113569066807,1188.276,907.9601
2.667,9.104650256490297,9.71573853658839,1191.282,919.4663
2.7,9.217272628549402,9.524376017443139,1193.271,921.4757
2.733,9.217274323021211,9.524383989306223,1193.271,921.4756
2.767,9.217349758613459,9.524376287010293,1193.272,921.4755
