Time(s),X_cm,Y_cm,X_px_raw,Y_px_raw
0.0,10.71073261084716,10.736642783321978,1209.305,903.1163
0.033,10.72617633699371,10.81546398288124,1209.288,902.1309
0.067,10.724750780654452,10.814558849277924,1209.272,902.1454
0.1,10.652188013245585,10.827799548666361,1208.294,902.1716
0.133,10.653139180672248,10.825747660198846,1208.312,902.1938
0.167,10.65409034809893,10.823695771731327,1208.33,902.216
0.2,10.655044904469223,10.821659826989979,1208.348,902.238
0.233,10.655997766367712,10.819615910385554,1208.366,902.2601
0.267,10.656952322738007,10.817579965644203,1208.384,902.2821
0.3,10.641309401363614,10.738909422782118,1208.398,903.2662
0.333,10.641132986714778,10.740255050240819,1208.392,903.2505
0.367,10.566462037724698,10.756268494995984,1207.379,903.2488
0.4,10.566462037724698,10.756268494995984,1207.379,903.2488
0.433,10.47518369693354,10.692699908825599,1206.37,904.2446
0.467,10.474517453545017,10.693191468665391,1206.36,904.2404
0.5,10.383850317405447,10.628509786901608,1205.362,905.248
0.533,10.383862241901712,10.62784068953665,1205.364,905.256
0.567,10.383800425277528,10.627187266330699,1205.365,905.264
0.6,10.29241777967978,10.564215761190345,1204.353,906.2529
0.633,10.291592255941325,10.56395796589999,1204.343,906.2581
0.667,10.290692991082429,10.563715844768657,1204.332,906.2633
0.7,10.290977725539745,10.564330217360647,1204.334,906.2552
0.733,10.27270309398916,10.485244213764929,1204.315,907.251
0.767,10.27144522716527,10.485853195013759,1204.297,907.2469
0.8,10.270110230277314,10.48646190669543,1204.278,907.243
0.833,10.089441885418616,10.360231485360938,1202.282,909.2189
0.867,10.090146912077893,10.362097979591844,1202.286,909.1947
0.9,10.090776503144903,10.363972176118683,1202.289,909.1706
0.933,10.000638921042063,10.301419251366204,1201.292,910.1513
0.967,10.001113436341875,10.3029264726239,1201.294,910.132
1.0,9.837191556359715,10.25548197417491,1199.298,911.1196
1.033,9.83553454663467,10.255300932276688,1199.277,911.126
1.067,9.833875842437823,10.255111918515373,1199.256,911.1325
1.1,9.815700242697565,10.177579619520086,1199.234,912.1094
1.133,9.815118722899436,10.17846977251422,1199.224,912.1002
1.167,9.814537203101303,10.179359925508345,1199.214,912.091
1.2,9.813304879741759,10.178638683890336,1199.2,912.1028
1.233,9.812070861910392,10.177909470409244,1199.186,912.1147
1.267,9.81091227967129,10.177172554632216,1199.173,912.1265
1.3,9.613601964323475,9.969384428162467,1197.186,915.1237
1.333,9.613598575379859,9.969368484436288,1197.186,915.1239
1.367,9.613668927556686,9.969336866551103,1197.187,915.1241
1.4,9.613834359735591,9.967576971779053,1197.194,915.1448
1.433,9.595291059613057,9.888314778493953,1197.172,916.1434
1.467,9.593767913160832,9.888763513779585,1197.151,916.1419
1.5,9.504622165808057,9.824350025273663,1196.172,917.1424
1.533,9.397570429313307,9.68149706278352,1195.177,919.13
1.567,9.398149249419706,9.682407203011183,1195.182,919.1176
1.6,9.325270178647422,9.697423201763538,1194.195,919.1233
1.633,9.254071966592718,9.711282047684177,1193.233,919.1386
1.667,9.256614874983034,9.709466734589324,1193.271,919.1539
1.7,9.255914052906487,9.707982620219417,1193.266,919.1735
1.733,9.14957180042816,9.564478930194904,1192.282,921.1671
1.767,9.150860104550986,9.5647383428882,1192.298,921.1607
1.8,9.134459501504073,9.485403978852652,1192.304,922.1547
1.833,9.135003616535203,9.48578824568377,1192.31,922.1487
1.867,9.046640215486605,9.4210668197562,1191.342,923.1509
1.9,9.048964347432875,9.420397837542884,1191.374,923.153
1.933,9.05022648203309,9.419446335748482,1191.393,923.1612
1.967,9.050214620730436,9.419390532706881,1191.393,923.1619
2.0,9.05027480607642,9.419311083643171,1191.394,923.1627
2.033,9.033781885912784,9.339179802866113,1191.401,924.1665
2.067,8.927851579664594,9.195438574351954,1190.423,926.1619
2.1,8.92962387666617,9.19543680253349,1190.446,926.1574
2.133,8.985553961584081,9.101044693460064,1191.432,927.1476
2.167,8.984685949663197,9.102037402405692,1191.418,927.1379
2.2,9.040760191071982,9.006873100881489,1192.408,928.137
2.233,9.024909665304346,8.92758845499456,1192.421,929.129
2.267,9.026079293207003,8.928014737678367,1192.435,929.1209
2.3,9.10095797297756,8.91116559513489,1193.453,929.1321
2.333,9.100952889562137,8.911141679545636,1193.453,929.1324
2.367,9.10351776289235,8.910154901077481,1193.489,929.1377
2.4,9.106010589573906,8.909191768631429,1193.524,929.1429
2.433,9.108577157375926,8.908212962026369,1193.56,929.1481
2.467,9.111069984057503,8.907249829580323,1193.595,929.1533
2.5,9.184739936686595,8.89124085231519,1194.595,929.1575
2.533,9.184338220480914,8.890801321576793,1194.591,929.1638
2.567,9.183864457626614,8.890385436860502,1194.586,929.17
2.6,9.18346274142095,8.889945906122101,1194.582,929.1763
2.633,9.16608141248113,8.811436572340197,1194.573,930.1629
2.667,9.166047459851352,8.812002035485039,1194.571,930.1562
2.7,9.166414470981776,8.811915692826876,1194.576,930.1563
2.733,9.14857130368392,8.732321376963716,1194.564,931.1571
2.767,9.148643350332557,8.732297730941614,1194.565,931.1572
2.8,9.12995501488642,8.654166194379032,1194.538,932.1426
2.833,9.128770010350266,8.655117965740597,1194.52,932.1342
2.867,9.127585005814108,8.65606973710215,1194.502,932.1258
2.9,9.126326260157509,8.657037182622728,1194.483,932.1174
2.933,9.125142950093158,8.657996925847376,1194.465,932.1089
2.967,9.123957945556999,8.658948697208933,1194.447,932.1005
3.0,8.925864405072337,8.451826972432569,1192.448,935.0917
3.033,8.927525619380091,8.45239039419179,1192.468,935.0807
3.067,8.929185139216042,8.452945844087925,1192.488,935.0698
3.1,8.93092178911605,8.453501563551217,1192.509,935.0587
3.133,8.91471862363155,8.374733471361989,1192.516,936.0454
