Time(s),X_cm,Y_cm,X_px_raw,Y_px_raw
0.0,8.068479313638926,12.557766343195317,1170.0,888.0
0.033,7.6245393821444605,12.649137488348325,1163.988,888.0359
0.067,7.697292625525529,12.628815733153306,1164.988,888.0942
0.1,7.696380184053831,12.624160434677858,1164.989,888.1524
0.133,7.118090087325513,12.42068068200636,1158.047,892.0698
0.167,7.050027280051356,12.442038470571617,1157.105,891.9871
0.2,6.959183292785498,12.373986577692284,1156.114,893.0356
0.233,6.9220430969906594,12.528858053086136,1155.205,891.2716
0.267,6.9247521385674435,12.507518799326713,1155.299,891.5208
0.3,6.927389133495592,12.486203191589388,1155.392,891.7699
0.333,6.633953949996702,12.54594184246352,1151.42,891.8015
0.367,6.635477222836143,12.544043306364761,1151.445,891.8204
0.4,6.636998801203793,12.542136798402906,1151.47,891.8394
0.433,6.638446638450981,12.54024596460007,1151.494,891.8584
0.467,6.639947883156936,12.538243794281172,1151.519,891.8786
0.5,6.641715286323932,12.536043405653746,1151.548,891.9005
0.533,7.1934891698420635,12.909567052030905,1157.677,886.0099
0.567,7.186553673221342,12.916098782098183,1157.569,885.9492
0.6,7.162608252954769,12.84224251436669,1157.462,886.8967
0.633,7.155681291886694,12.848089203342832,1157.356,886.8442
0.667,7.148680589698177,12.853951566477988,1157.249,886.7917
0.7,7.141678193037853,12.85980595775006,1157.142,886.7393
0.733,6.815208821629825,12.380501385411948,1154.228,893.3247
0.767,6.812214614996131,12.386720286584882,1154.172,893.2577
0.8,7.225954326749505,12.927054233972795,1158.05,885.7172
0.833,7.309711831578605,12.983522779483915,1158.981,884.8258
0.867,7.376524618329645,12.960272694128374,1159.912,884.9344
0.9,7.369596284635666,12.952696767788321,1159.843,885.043
0.933,7.291320303521992,12.971692806870394,1158.775,885.0147
0.967,7.286710007261073,12.975022389232901,1158.706,884.9865
1.0,7.2654000020823775,12.897973023928353,1158.642,885.9656
1.033,7.260960973861279,12.900657963649472,1158.577,885.9447
1.067,7.256521945640179,12.90334290337059,1158.512,885.9238
1.1,7.252081222947272,12.906019871228626,1158.447,885.903
1.133,7.247642194726189,12.908704810949741,1158.382,885.8821
1.167,7.050288775430704,12.787012423737108,1156.157,887.8461
1.2,6.561792028763962,12.336257085009505,1151.062,894.5022
1.233,6.54578638020635,12.334926595215443,1150.858,894.559
1.267,6.603449805445122,12.317945592427991,1151.653,894.6157
1.3,6.587444156887505,12.31661510263392,1151.449,894.6725
1.333,6.571366461681238,12.31530825886196,1151.244,894.7292
1.367,6.555360813123626,12.313977769067897,1151.04,894.786
1.4,6.516032220952283,12.48756155734278,1150.051,892.803
1.433,7.068506121200896,12.9495892543307,1155.945,885.8484
1.467,7.1336885042269245,12.932084880138893,1156.839,885.8922
1.5,7.1342123487899824,12.931648584206384,1156.847,885.8961
1.533,7.2157417437012015,12.985974470365639,1157.755,885.0361
1.567,7.223531712639189,13.05598248740347,1157.663,884.176
1.6,7.214375269027309,13.046263901711566,1157.571,884.316
1.633,7.045294595345263,12.98397675731219,1155.549,885.4949
1.667,7.040714621751754,12.97004425158947,1155.528,885.6738
1.7,7.036060907037804,12.956127420025766,1155.506,885.8527
1.733,7.031402172102038,12.941461772466232,1155.486,886.0406
1.767,7.043688155244313,13.006514755773349,1155.466,885.2285
1.8,7.039029420308548,12.991849108213824,1155.446,885.4164
1.833,6.681383560623705,13.142557436904996,1150.39,884.52
1.867,6.665381168744627,13.152482833070497,1150.155,884.4417
1.9,6.154394629533352,12.925523697984051,1144.151,888.4692
1.933,6.168194149283827,13.003136294008382,1144.116,887.5025
1.967,6.098724804021979,13.019327237024854,1143.17,887.4854
2.0,6.102996579205134,13.019844021025841,1143.224,887.4683
2.033,6.107194613267864,13.020376479185842,1143.277,887.4512
2.067,6.111466388451019,13.02089326318683,1143.331,887.4341
2.1,5.962180718130748,13.059348863566408,1141.288,887.3534
2.133,5.900432857511841,13.06581648119384,1140.469,887.4333
2.167,5.906369362333601,13.06546282986708,1140.547,887.4224
2.2,5.918533584524483,13.146622520246181,1140.481,886.4173
2.233,5.851793298533041,13.14519437389312,1139.619,886.6047
2.267,5.8587186973943846,13.1280997708205,1139.756,886.7922
2.3,5.865719531847964,13.11099746545195,1139.894,886.9796
2.333,5.7332661757239345,13.235169657393604,1137.833,885.8272
2.367,5.731350342411873,13.248274900437623,1137.772,885.6748
2.4,5.729434509099828,13.261380143481649,1137.711,885.5224
2.433,5.727518675787783,13.274485386525667,1137.65,885.37
2.467,5.725602842475723,13.287590629569697,1137.589,885.2176
2.5,5.723687009163678,13.300695872613712,1137.528,885.0652
2.533,5.72175762007717,13.313737340753041,1137.467,884.9136
2.567,6.050439517528057,13.410031272524378,1141.466,882.9194
2.6,6.0503429326350116,13.409576876328437,1141.466,882.9251
2.633,6.081808389395428,13.567762979539804,1141.438,880.9463
2.667,6.07938440999971,13.566511821017862,1141.41,880.9675
2.7,6.0769621250757995,13.565268634359008,1141.382,880.9886
2.733,6.0745381456800835,13.564017475837066,1141.354,881.0098
2.767,6.089058884362425,13.642484948181785,1141.326,880.031
2.8,6.08670864608715,13.641218115500827,1141.299,880.0522
2.833,5.7363180899615696,13.801765840514355,1136.31,879.0192
2.867,5.737686723511229,13.804216167720691,1136.321,878.9863
2.9,5.718695508211088,13.739163647660101,1136.254,879.8155
2.933,5.571430590312035,13.786038344160676,1134.214,879.6286
2.967,5.571647913303027,13.801564722630276,1134.174,879.4417
3.0,5.571938977414459,13.81707542694085,1134.135,879.2548
3.033,5.572156300405451,13.832601805410448,1134.095,879.0679
3.067,5.572373623396443,13.84812818388005,1134.055,878.881
3.1,5.408235970874344,13.815985503898439,1132.014,879.6855
3.133,5.336011276310093,13.84024428118963,1131.01,879.5786
3.167,5.3375293966626725,13.84883687132843,1131.006,879.4716
3.2,5.338973775894791,13.85744513562624,1131.001,879.3646
3.233,5.3404918962473715,13.866037725765027,1130.997,879.2576
3.267,5.415751137044953,13.858956156888334,1131.993,879.1506
3.3,5.417269257397535,13.867548747027133,1131.989,879.0436
3.333,5.418713636629652,13.87615701132494,1131.984,878.9366
3.367,5.1650773501413525,13.773226856741132,1128.977,880.819
3.4,5.165351532728315,13.787932942014272,1128.94,880.6418
3.433,5.330015149007006,13.843943419341219,1130.922,879.5495
3.467,5.3302518063176,13.851583583832493,1130.904,879.4572
3.5,5.330511433788008,13.858244017865571,1130.889,879.3766
3.533,5.330769366786625,13.864896480035569,1130.874,879.2961
3.567,5.331027299785227,13.87154894220557,1130.859,879.2156
3.6,5.331358973904287,13.878185730216552,1130.845,879.1351
3.633,5.055639763563977,13.989000183774735,1126.962,878.5085
3.667,4.578600404842497,14.328585890977601,1119.836,875.6498
3.7,4.235276951301149,14.898034132927952,1113.811,869.6912
3.733,4.402996285135523,14.621413527251985,1116.75,872.5833
3.767,4.400401847461257,14.630963588926518,1116.69,872.4753
3.8,4.397964180026014,14.640888597733273,1116.631,872.3624
3.833,4.395397669539757,14.650932645352022,1116.57,872.2484
3.867,4.392829464581705,14.660968721107672,1116.509,872.1345
3.9,4.390262954095464,14.671012768726417,1116.448,872.0205
3.933,4.148692629583687,15.348595815874651,1111.445,864.5045
3.967,4.239098317393825,15.408058892555403,1112.454,863.5602
4.0,4.238886824385902,15.403437907636713,1112.464,863.6162
4.033,4.238675331377981,15.398816922718032,1112.474,863.6722
4.067,4.238465532841866,15.394203909662425,1112.484,863.7281
4.1,4.238254039833945,15.389582924743744,1112.494,863.7841
4.133,5.460814586286652,17.874625001444148,1121.503,830.8401
4.167,5.462651083636107,17.877100861642695,1121.52,830.8057
4.2,5.4644155343369265,17.879600367863347,1121.536,830.7712
4.233,5.6709511567261535,17.75441254056799,1124.561,831.7468
4.267,5.704410007462263,17.913999650296994,1124.555,829.7461
4.3,5.648118873662076,18.0081435533461,1123.565,828.7598
4.333,5.706906211331759,17.93263274441761,1124.536,829.5161
4.367,5.708898841106285,17.95252269723436,1124.507,829.2723
4.4,5.710965212001254,17.972396975892078,1124.479,829.0285
4.433,5.7129578417757765,17.992286928708815,1124.45,828.7847
4.467,5.698004059000437,17.932450278795812,1124.421,829.541
4.5,5.700011939021234,17.95241197838034,1124.392,829.2963
4.533,6.1287858966502125,17.600413933855823,1130.926,832.4271
4.567,6.695484144083061,17.9045506330623,1137.44,827.3312
4.6,6.692211418014625,17.90692101133447,1137.391,827.3111
4.633,6.690040604170138,17.908673897360412,1137.358,827.2956
4.667,6.687943531446116,17.91041110922735,1137.326,827.2801
4.7,6.68577271760163,17.912163995253295,1137.293,827.2646
4.733,6.68360190375716,17.913916881279235,1137.26,827.2491
4.767,6.681431089912692,17.915669767305175,1137.227,827.2336
4.8,6.208793306105578,17.602979782301432,1131.957,832.1922
4.833,6.21100246086552,17.60865925319219,1131.97,832.1184
4.867,6.213506516913624,17.61500092785346,1131.985,832.0359
4.9,6.21600887848994,17.62133463065164,1132.0,831.9535
4.933,6.1278270960149825,17.563631833461738,1131.015,832.871
4.967,4.891791075463329,20.082874227015733,1108.03,805.7886
5.0,4.819845474954168,20.09466728212829,1107.064,805.8306
5.033,4.821639300418203,20.090778206362284,1107.098,805.8727
5.067,4.823434820354064,20.08689710245935,1107.132,805.9147
5.1,4.825228645818099,20.08300802669334,1107.166,805.9568
5.133,4.528983137473467,20.149468075682027,1103.139,805.9149
5.167,4.53884449314024,20.560999153021935,1102.132,800.9506
5.2,4.570469046547579,20.71231917116291,1102.125,799.0538
5.233,4.512075888873008,20.796936428256302,1101.134,798.1872
5.267,4.510479133565401,20.786160895467546,1101.143,798.3206
5.3,4.508884072729604,20.775393334541885,1101.152,798.4539
5.333,4.507626274977165,20.765487273963892,1101.163,798.576
5.367,4.506440523873361,20.755557567363805,1101.175,798.6982
5.4,4.5051810316491165,20.745643534922735,1101.186,798.8204
5.433,4.559729629767452,21.360159581518467,1100.199,791.3059
5.467,4.502236609906639,21.454450636891696,1099.193,790.3209
5.5,4.5149610130140365,21.53643277700451,1099.132,789.3045
5.533,4.470563112302699,21.70901107152571,1098.08,787.3465
5.567,4.466437314469461,21.706280266123883,1098.034,787.3898
5.6,4.462313211108015,21.70355743258516,1097.988,787.433
5.633,4.531854792599337,21.685168142326873,1098.941,787.4763
5.667,4.527728994766084,21.682437336925066,1098.895,787.5196
5.7,4.523603196932829,21.67970653152325,1098.849,787.5629
5.733,4.519479093571399,21.676983697984525,1098.803,787.6061
5.767,4.420334664903104,21.94988489814847,1096.764,784.5837
5.8,4.417838322890699,21.952281887681494,1096.725,784.5613
5.833,4.415034339454764,21.954319334674132,1096.683,784.544
5.867,4.41223035601883,21.956356781666774,1096.641,784.5267
5.9,4.409501808175128,21.958386526363487,1096.6,784.5093
5.933,4.4066978247391955,21.960423973356136,1096.558,784.492
5.967,4.403967582423703,21.96244574618976,1096.517,784.4747
6.0,4.4011652934595595,21.96449116504549,1096.475,784.4573
6.033,4.398361310023625,21.96652861203813,1096.433,784.44
6.067,4.509723970861271,21.398300989328316,1099.445,790.9757
6.1,4.493392904352085,21.318568571272753,1099.453,791.9743
6.133,4.829597837812902,21.834247791758326,1102.393,784.9275
6.167,4.789519220688964,22.006841182040365,1101.397,782.9583
6.2,4.7893711123898175,22.00433139300386,1101.402,782.9888
6.233,4.789463745474593,22.001503807712506,1101.411,783.0225
6.267,4.8064994021656195,22.07838688142473,1101.42,782.0563
6.3,4.806592035250393,22.07555929613338,1101.429,782.09
6.333,4.806682973863363,22.072723738978954,1101.438,782.1238
6.367,4.242889778770625,24.85600472665276,1086.447,750.1575
6.4,4.176655638716009,24.959935884411106,1085.301,749.0791
6.433,4.145984373445893,25.56005437475319,1083.248,741.9548
6.467,4.127165557792706,25.491099146153182,1083.194,742.8304
6.5,4.083513402501966,25.684590642053298,1082.094,740.6195
6.533,4.06572194821821,26.022953497255457,1080.93,736.6039
6.567,4.115157908946661,25.947322380206916,1081.78,737.3855
6.6,4.107797467308165,25.96708405304051,1081.63,737.1671
6.633,4.100363284549209,25.986861400033124,1081.479,736.9487
6.667,4.07605812483264,25.926904442000076,1081.329,737.7303
6.7,4.068695988722338,25.94665814297059,1081.179,737.512
6.733,4.061335547083826,25.96641981580419,1081.029,737.2936
6.767,3.851771271665079,26.502687407273832,1076.831,731.392
6.8,3.863642729394888,26.57811856289951,1076.777,730.4564
6.833,3.8579406936187155,26.572323327266528,1076.719,730.5405
6.867,3.8522403523143467,26.566536063496624,1076.661,730.6245
6.9,3.8465383165381706,26.560740827863633,1076.603,730.7086
