Time(s),X_cm,Y_cm,X_px_raw,Y_px_raw
0.0,12.65215839281485,13.249640486931233,1227.564,868.0029
0.033,12.652227050519873,13.249600897182953,1227.565,868.0032
0.067,12.79964239137031,13.217575240356771,1229.566,868.0115
0.1,12.946745759827273,13.186257461942347,1231.561,868.0121
0.133,12.946442322986458,13.186280299262975,1231.557,868.0126
0.167,12.946066839496996,13.186326782605706,1231.552,868.013
0.2,13.019648553204867,13.171353069273216,1232.548,868.005
0.233,13.110592141023572,13.234434563093837,1233.554,867.0159
0.267,13.110921936967815,13.2334479390412,1233.561,867.0269
0.3,13.11086777706359,13.232467939015844,1233.563,867.0388
0.333,13.111556111779223,13.231355112989613,1233.575,867.0504
0.367,13.112244446494852,13.230242286963373,1233.587,867.062
0.4,13.095276005811487,13.150412050013507,1233.587,868.0634
0.433,13.095276005811487,13.150412050013507,1233.587,868.0634
0.467,13.095276005811487,13.150412050013507,1233.587,868.0634
0.5,13.078627067854303,13.070997158645628,1233.59,869.059
0.533,13.079244108366789,13.070999315182885,1233.598,869.0574
0.567,13.152654554034845,13.056670244491784,1234.59,869.0421
0.6,13.169036581085491,13.1351920176268,1234.586,868.0579
0.633,13.168473890058086,13.133995159895166,1234.582,868.0737
0.667,13.332955135317643,13.181895671943042,1236.584,867.0792
0.7,13.334519012286863,13.180913360964933,1236.607,867.087
0.733,13.336084583727908,13.1799390218499,1236.63,867.0947
0.767,13.321768186882428,13.100619907990703,1236.663,868.0832
0.8,13.377078031925054,13.004034997434125,1237.647,869.1013
0.833,13.362984552912726,12.924676832960973,1237.683,870.0897
0.867,13.365763745329822,12.925060945376572,1237.718,870.078
0.9,13.368618373339153,12.92543735549624,1237.754,870.0662
0.933,13.37140434364348,12.925853355364188,1237.789,870.0541
0.967,13.374262360596438,12.926245709210026,1237.825,870.0421
1.0,13.453774064279132,12.577296748403366,1239.819,874.0273
1.033,13.437255663844773,12.497770790086578,1239.824,875.0239
1.067,13.43760993483982,12.497987108658554,1239.828,875.0204
1.1,13.437169308976184,12.496639324662594,1239.826,875.0377
1.133,13.43665663646391,12.495315186688732,1239.823,875.0549
1.167,13.47537923378632,12.321418608783361,1240.805,877.0432
1.2,13.4594311179057,12.243487831785387,1240.813,878.0192
1.233,13.460429414574925,12.245283657517149,1240.821,877.9951
1.267,13.442612606380504,12.16472555492198,1240.812,879.0074
1.3,13.458611493221753,12.243620388219128,1240.802,878.0197
1.333,13.4962492494255,12.068971220377708,1241.772,880.0198
1.367,13.479908705337353,11.991007208091595,1241.775,880.9972
1.4,13.463564772305576,11.913027252079317,1241.778,881.9748
1.433,13.464163862880046,11.914757955070595,1241.781,881.9525
1.467,13.464689212334074,11.916504332220889,1241.783,881.9302
1.5,13.465286608436749,11.91822706334908,1241.786,881.908
1.533,13.564307840334106,11.648734855347488,1243.814,884.8898
1.567,13.566675902160165,11.649722942387571,1243.842,884.8719
1.6,13.639892425596639,11.63339374276319,1244.837,884.8811
1.633,13.624725024741974,11.55442215607391,1244.858,885.8676
1.667,13.62650403643718,11.55517717211437,1244.879,885.854
1.7,13.755853165769409,11.445046050852124,1246.861,886.8458
1.733,13.827251704659098,11.42777848233629,1247.835,886.8709
1.767,13.824982864224204,11.42616939867693,1247.81,886.896
1.8,13.87965935009454,11.332043750306756,1248.779,887.8862
1.833,13.877614869190166,11.3333031895228,1248.749,887.8763
1.867,13.950784763055118,11.317117213866819,1249.743,887.8839
1.9,14.081503720737771,11.205453453506326,1251.747,888.8906
1.933,14.081614803431593,11.204888259928643,1251.75,888.8971
1.967,14.081724191653608,11.204315094487884,1251.753,888.9037
2.0,14.081833579875639,11.20374192904711,1251.756,888.9103
2.033,14.082015014746288,11.20314511758424,1251.76,888.917
2.067,14.082124402968304,11.20257195214348,1251.763,888.9236
2.1,14.082124402968304,11.20257195214348,1251.763,888.9236
2.133,14.082124402968304,11.20257195214348,1251.763,888.9236
2.167,14.082124402968304,11.20257195214348,1251.763,888.9236
2.2,14.082124402968304,11.20257195214348,1251.763,888.9236
2.233,14.082124402968304,11.20257195214348,1251.763,888.9236
2.267,14.082124402968304,11.20257195214348,1251.763,888.9236
2.3,14.082124402968304,11.20257195214348,1251.763,888.9236
2.333,14.082124402968304,11.20257195214348,1251.763,888.9236
2.367,14.082124402968304,11.20257195214348,1251.763,888.9236
2.4,14.082124402968304,11.20257195214348,1251.763,888.9236
2.433,14.082124402968304,11.20257195214348,1251.763,888.9236
2.467,14.082124402968304,11.20257195214348,1251.763,888.9236
2.5,14.082124402968304,11.20257195214348,1251.763,888.9236
2.533,14.082124402968304,11.20257195214348,1251.763,888.9236
2.567,14.082124402968304,11.20257195214348,1251.763,888.9236
2.6,14.082124402968304,11.20257195214348,1251.763,888.9236
2.633,14.082124402968304,11.20257195214348,1251.763,888.9236
2.667,18.507493737969412,6.048979219605281,1323.394,939.4869
2.7,18.507493737969412,6.048979219605281,1323.394,939.4869
2.733,18.507493737969412,6.048979219605281,1323.394,939.4869
2.767,18.507493737969412,6.048979219605281,1323.394,939.4869
2.8,17.866823879318105,5.934930151192435,1315.396,942.4901
2.833,17.793081064401278,5.9505963383448375,1314.396,942.4902
2.867,17.793352306277757,5.950422035625561,1314.4,942.4916
2.9,17.793625242626028,5.950255704769373,1314.404,942.4929
2.933,17.793899873446108,5.950097345776269,1314.408,942.4941
2.967,17.77654408797064,5.870257789127534,1314.403,943.4966
3.0,17.776059279452767,5.870152537504456,1314.397,943.4991
3.033,17.68591253573902,5.805743516488565,1313.405,944.5021
3.067,17.68644993607654,5.805370995460763,1313.413,944.5052
3.1,17.686836465229558,5.805013879024802,1313.419,944.5085
3.133,17.68713230854404,5.804592718117004,1313.424,944.5128
3.167,17.687423068443113,5.80414764161994,1313.429,944.5174
3.2,17.68778756946261,5.803686890963855,1313.435,944.522
3.233,17.688078329361687,5.803241814466792,1313.44,944.5266
3.267,17.688370783732555,5.802804709832813,1313.445,944.5311
3.3,17.688661543631625,5.802359633335751,1313.45,944.5357
3.333,22.096458682966308,3.1097271847688663,1378.066,965.6077
3.367,22.022717562521287,3.125401343784355,1377.066,965.6077
3.4,22.022642126929032,3.125409046080285,1377.065,965.6078
3.433,22.522007190742677,2.937270176654023,1384.063,966.5919
3.467,22.522130823991024,2.9385770230659194,1384.061,966.5759
3.5,22.522256151711193,2.9398918413409074,1384.059,966.5598
3.533,22.668279699271316,2.9085702889862723,1386.04,966.5632
3.567,22.66689474706184,2.9085813805036107,1386.022,966.5666
3.6,22.66558523044463,2.908584769725014,1386.005,966.5699
3.633,22.81890941196911,2.5421217669327874,1389.005,970.577
3.667,22.74510302276267,2.557851459422727,1388.004,970.5765
3.7,22.802233299269393,2.4633042261620846,1389.006,971.5655
3.733,22.728488789880757,2.4789624414514044,1388.006,971.5657
3.767,22.80240136794642,2.460468938574812,1389.016,971.5991
3.8,22.80249908444662,2.4576652688727236,1389.025,971.6325
3.833,23.154059957726727,2.299360063490984,1394.023,972.6356
3.867,23.1538616413316,2.299152255916412,1394.021,972.6386
3.9,23.153661630464672,2.2989364764787545,1394.019,972.6417
3.933,23.15346331406956,2.2987286689041886,1394.017,972.6447
3.967,23.153263303202625,2.298512889466533,1394.015,972.6478
4.0,23.153061597863875,2.298289138165793,1394.013,972.651
4.033,23.889779157872464,2.3105186634052624,1403.538,970.6248
4.067,23.88985289899291,2.3105029892462463,1403.539,970.6248
4.1,23.965496664381497,2.2968906926831227,1404.558,970.5952
4.133,24.261695979632034,2.2352897062370936,1408.571,970.5789
4.167,24.262929118630694,2.2363773839899332,1408.584,970.5627
4.2,24.409975191014247,2.201164060197711,1410.589,970.6102
4.233,24.687497406063056,2.058946202876162,1414.582,971.6091
4.267,24.687497406063056,2.058946202876162,1414.582,971.6091
4.3,24.687569452711696,2.0589225568540614,1414.583,971.6092
4.333,24.687641499360325,2.058898910831963,1414.584,971.6093
4.367,24.68771524048077,2.0588832366729477,1414.585,971.6093
4.4,25.311302565972934,2.0893019155480053,1422.592,969.6534
4.433,25.53109717160596,2.039183659952335,1425.582,969.6942
4.467,25.52974215702437,2.036072207244116,1425.573,969.735
4.5,25.692905729275715,2.0803117471651147,1427.568,968.7878
4.533,25.69297777592435,2.0802881011430054,1427.569,968.7879
4.567,25.693049822572995,2.080264455120905,1427.57,968.788
4.6,26.147828636264343,2.3974087121082786,1432.596,963.8215
4.633,26.1491782573403,2.3943306098398427,1432.622,963.855
4.667,26.15052787841624,2.3912525075714095,1432.648,963.8885
4.7,26.15187919396401,2.388182377166058,1432.674,963.9219
4.733,26.153230509511783,2.3851122467607135,1432.7,963.9553
4.767,27.317684381419365,2.251857120344452,1448.176,962.584
4.8,27.901268645889218,2.463201827812724,1455.165,958.5587
4.833,28.048976630691364,2.4285643651328463,1457.177,958.5976
4.867,28.049272726780302,2.425243602598761,1457.19,958.6367
4.9,28.37652919427917,2.5191825999536404,1461.177,956.6744
4.933,28.374856308249594,2.5163886739330907,1461.163,956.7122
4.967,28.53971310019222,2.5635178022316714,1463.172,955.726
5.0,28.794292891509436,2.6745127865876013,1466.169,953.7444
5.033,28.79375819086364,2.6730850143936253,1466.166,953.7629
5.067,28.79329892581012,2.6716495399037044,1466.164,953.7813
5.1,28.792767614107962,2.6702377114358855,1466.161,953.7996
5.133,28.79223630240579,2.668825882968079,1466.158,953.8179
5.167,29.302673206693093,2.890660997059898,1472.169,949.8533
5.2,29.302884515998024,2.8876665417780503,1472.18,949.8887
5.233,29.49072634624187,2.678882523350028,1475.193,951.9153
5.267,29.491313075842655,2.6765664851320166,1475.207,951.9416
5.3,29.67928789052662,2.468770708159581,1478.219,953.956
5.333,29.679928780031638,2.4674346699669156,1478.231,953.9704
5.367,29.680569669536645,2.4660986317742566,1478.243,953.9848
5.4,29.879892833689144,2.675741891390425,1480.251,950.9602
5.433,29.88090129718923,2.6775855483007023,1480.259,950.9355
5.467,29.88183263062527,2.679428935643833,1480.266,950.911
5.5,29.882837705181725,2.6812566488279455,1480.274,950.8865
5.533,29.883770733089563,2.6831080080341527,1480.281,950.8619
5.567,29.88477580764604,2.6849357212182587,1480.289,950.8374
5.6,30.637184676265964,2.774975636807935,1489.803,947.8373
5.633,30.71222520969095,2.758525356985958,1490.822,947.8433
5.667,30.843905312050296,2.6470322405561735,1492.838,948.8455
5.7,30.845118243774476,2.646574455138831,1492.855,948.8479
5.733,31.05042982558236,2.5228799467606047,1495.86,949.8087
5.767,31.051534810781884,2.5259029002734046,1495.866,949.7696
5.8,31.182811628850963,2.4125124804289912,1497.882,950.7956
5.833,31.38845300660311,2.287831347998134,1500.894,951.7674
5.867,31.389812352154635,2.289875379754206,1500.906,951.7394
5.9,31.391171697706152,2.29191941151029,1500.918,951.7114
5.933,31.392531043257694,2.29396344326637,1500.93,951.6834
5.967,31.393888694337406,2.2959995031593685,1500.942,951.6555
6.0,32.094918604440124,2.1446830223700113,1510.455,951.6832
6.033,32.02110204840285,2.1603648836814298,1509.454,951.6833
